P5,P95,clip_ratio,common_evaluation_mask_checksum,endpoint_gap,endpoint_input_checksum,endpoint_sample_count,high_clip_ratio,intercept_b,low_clip_ratio,qa_config_hash,raw_above_one_ratio,raw_below_zero_ratio,sensor,slope_a,strategy,task_id,total_clip_ratio,total_training_samples
,,7.52360531166535e-05,,,,,,0.18602541089057922,,,0.0,7.52360531166535e-05,sentinel2,0.5917616486549377,2022,,,26583
,,6.616163286909921e-05,,,,,,0.1773586869239807,,,0.0,6.616163286909921e-05,sentinel2,0.6113760471343994,2023,,,30229
,,0.0,,,,,,0.26954036951065063,,,0.0,0.0,sentinel2,0.44526734948158264,2024,,,23655
,,7.040766035344645e-05,,,,,,0.18076911568641663,,,0.0,7.040766035344645e-05,sentinel2,0.6036481261253357,2022-2023,,,56812
,,0.0,,,,,,0.2218261957168579,,,0.0,0.0,sentinel2,0.5342297554016113,2023-2024,,,53884
,,1.2427454732996136e-05,,,,,,0.2104538083076477,,,0.0,1.2427454732996136e-05,sentinel2,0.5519902110099792,2022-2024,,,80467
0.23231551349163057,0.7540142089128494,,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,0.5216986954212188,cdbc5d9e625dfcbbdd785e3e9c226b7767bbd5bc47a6f392640dcc6305f81b6d,28540,0.05,,0.05,0909096b4ec2554e55705d25a822e1c1d912cb3dc73d579e3026d4be3f239912,,,sentinel2,,formula-p5-p95,new-sentinel2-formula-p5-p95,0.1,
,,0.0,,,,,,-0.03424030542373657,,,0.0,0.0,landsat,0.9039871692657471,2022,,,26372
,,0.0,,,,,,-0.0029665231704711914,,,0.0,0.0,landsat,0.8639993071556091,2023,,,28379
,,0.0,,,,,,-0.00514596700668335,,,0.0,0.0,landsat,0.8319174647331238,2024,,,30141
,,0.0,,,,,,-0.01961749792098999,,,0.0,0.0,landsat,0.8854624629020691,2022-2023,,,54751
,,0.0,,,,,,-0.00423431396484375,,,0.0,0.0,landsat,0.8477288484573364,2023-2024,,,58520
,,0.0,,,,,,-0.011226236820220947,,,0.0,0.0,landsat,0.8610361218452454,2022-2024,,,84892
0.41676182597875594,0.7582488179206848,,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,0.34148699194192883,d82a8b9b8855e05481cd0e14fa3581ba225cf5c63e6ed26bfa8ca21c6bee4e34,30220,0.05,,0.05,0909096b4ec2554e55705d25a822e1c1d912cb3dc73d579e3026d4be3f239912,,,landsat,,formula-p5-p95,new-landsat-formula-p5-p95,0.1,
,,0.00037684138403562865,,,,,,-0.13980460166931152,,,0.0,0.00037684138403562865,modis,1.0330339670181274,2022,,,29190
,,6.845329773761851e-05,,,,,,-0.09972083568572998,,,0.0,6.845329773761851e-05,modis,0.975882887840271,2023,,,29217
,,0.0,,,,,,-0.07452970743179321,,,0.0,0.0,modis,0.9199975728988647,2024,,,29183
,,0.00017121235468351396,,,,,,-0.12001639604568481,,,0.0,0.00017121235468351396,modis,1.0043885707855225,2022-2023,,,58407
,,1.7123287671232875e-05,,,,,,-0.08892399072647095,,,0.0,1.7123287671232875e-05,modis,0.9508793354034424,2023-2024,,,58400
,,0.00013700194086082887,,,,,,-0.10477912425994873,,,0.0,0.00013700194086082887,modis,0.9760379791259766,2022-2024,,,87590
0.4739630177617073,0.7870761454105377,,b9374536b152093b1c881ddc9e5c291fed43a39e7f441e9252b1fcdd3ad8edd8,0.3131131276488304,8ae2a843a063b1db255b3679668fc1f84676ef07ebe5351e220db843129d9167,29214,0.05001026904908606,,0.05001026904908606,0909096b4ec2554e55705d25a822e1c1d912cb3dc73d579e3026d4be3f239912,,,modis,,formula-p5-p95,new-modis-formula-p5-p95,0.10002053809817212,
