no_land_valid_observation_ratio,source,target_date,water_caused_insufficient_ratio,water_masked_count,water_masked_ratio,water_once_ratio,year
0.012625764450581969,sentinel2,2022-07-20,0.0,16008,0.00023647344702179362,0.01154073781811008,2022
0.012527125665811796,sentinel2,2022-07-31,0.00019727756954034326,16540,0.0002443322597289147,0.01154073781811008,2022
0.023180114420990335,sentinel2,2022-08-10,0.001085026632471888,9608,0.0002838626785339072,0.00976523969224699,2022
0.005721049516669955,sentinel2,2023-07-20,0.0,38988,0.00046075096214321287,0.018938646675872955,2023
0.005622410731899783,sentinel2,2023-07-31,0.0,35160,0.0004155125635825219,0.01696587098046952,2023
0.005622410731899783,sentinel2,2023-08-10,0.0,32420,0.0004789148645956115,0.016571315841388833,2023
0.13582560662852633,sentinel2,2024-07-20,0.005326494377589268,11904,0.00023446442723200326,0.007693825212073387,2024
0.006312882225290984,sentinel2,2024-07-31,0.0,22432,0.0003313700876807143,0.013710791083053857,2024
0.005721049516669955,sentinel2,2024-08-10,0.0,27084,0.0002909748234581917,0.014302623791674886,2024
0.006411521010061156,sentinel2,2025-07-20,0.0004931939238508582,17512,0.00018813879443213164,0.015486289208916947,2025
0.008680213059775104,sentinel2,2025-07-31,0.0006904714933912014,12684,0.00018737063980662358,0.014598540145985401,2025
0.005622410731899783,sentinel2,2025-08-10,0.0,26708,0.00026302402228294447,0.016669954626159007,2025
0.008088380351154074,landsat,2022-07-20,0.0003945551390806865,18864,0.002002432981548828,0.06924442690866049,2022
0.12783586506214242,landsat,2022-07-31,0.0002959163543105149,12724,0.0016883320913663124,0.05878871572302229,2022
0.13118958374432826,landsat,2022-08-10,0.00019727756954034326,7040,0.0009341290414349921,0.03817320970605642,2022
0.08196883014401263,landsat,2023-07-20,0.0006904714933912014,22649,0.002404214620393311,0.07348589465377786,2023
0.012724403235352141,landsat,2023-07-31,0.0008877490629315447,14858,0.001752435517378928,0.06441112645492207,2023
0.0066087985796014995,landsat,2023-08-10,0.0008877490629315447,14956,0.0022679925233282045,0.0702308147563622,2023
0.007693825212073387,landsat,2024-07-20,0.0,23326,0.0024760788659673435,0.07989741566383902,2024
0.005622410731899783,landsat,2024-07-31,0.0004931939238508582,30752,0.0032643563957055538,0.08029197080291971,2024
0.00483330045373841,landsat,2024-08-10,0.0,35524,0.0037709090986291654,0.07861511146182679,2024
0.00483330045373841,landsat,2025-07-20,0.0002959163543105149,19580,0.001732030930994048,0.06520023673308345,2025
0.00483330045373841,landsat,2025-07-31,0.0,25823,0.0030457088683050254,0.06401657131584139,2025
0.00483330045373841,landsat,2025-08-10,0.0,24223,0.0028569959306413905,0.06756756756756757,2025
0.03935687512329848,modis,2022-07-20,0.0,43,0.0007500828579901269,0.0,2022
0.03935687512329848,modis,2022-07-31,0.0,37,0.0004840651002145586,0.0,2022
0.03935687512329848,modis,2022-08-10,0.0,39,0.0005102307813072374,0.0,2022
0.03935687512329848,modis,2023-07-20,0.0,36,0.0006279763462242922,0.0,2023
0.03935687512329848,modis,2023-07-31,0.0,36,0.00047098225966821916,0.0,2023
0.03935687512329848,modis,2023-08-10,0.0,38,0.000497147940760898,0.0,2023
0.03994870783191951,modis,2024-07-20,0.0,69,0.00090271599769742,0.0,2024
0.03935687512329848,modis,2024-07-31,0.0,69,0.00090271599769742,0.0,2024
0.03935687512329848,modis,2024-08-10,0.0,63,0.0008242189544193835,0.0,2024
0.03935687512329848,modis,2025-07-20,0.0,70,0.0012210651176583459,0.0,2025
0.03935687512329848,modis,2025-07-31,0.0,54,0.0007064733895023287,0.0,2025
0.03935687512329848,modis,2025-08-10,0.0,54,0.0007064733895023287,0.0,2025
