AOI_ID,included_scene_records,nominal_date,scene_records,sensor,source_manifest_hash,year
AOI-00,6,2021-07-20,9,landsat,c839bde87d1d5031428004d280244e96a26cd850d76e0a262fd9be47fbedd8e2,2021
AOI-00,6,2021-07-31,9,landsat,79c1d7ea1ac3571a84af7438e229296401e61e881ffff684c1a3028ce98b0662,2021
AOI-00,6,2021-08-10,9,landsat,d6763bc90f62af540f5e3da6adb0a590b70e624b63b50b77599986103165ea1a,2021
AOI-00,10,2022-07-20,15,landsat,7eaafd34f0f785e5e9e4c6d32b6789b92d7a4288d99416b0ae8a19f63f815725,2022
AOI-00,8,2022-07-31,15,landsat,e0e3e63d65e909cf361077658a532dbcd8897ac9cbbba30e4b6789b2deab10e6,2022
AOI-00,8,2022-08-10,15,landsat,f590b24d5a3a56809ef6b795ac4d2ae16084c5cfbfa9b7fb17344f98bda0bbfe,2022
AOI-00,10,2023-07-20,16,landsat,6c6f7c419de655519558d18232660f70d1998bb3641a3d0cc60d6f4dca4ae881,2023
AOI-00,9,2023-07-31,16,landsat,bc13418d34ab977e4850d44bc29ebcf55f8e661037a9b87eccf1c043c35c7413,2023
AOI-00,7,2023-08-10,16,landsat,bfe61f570d8c14dbe7c2e87813b9f5f6a485e1d522c55ff26ee3a3974aba2640,2023
AOI-00,10,2024-07-20,16,landsat,eb9578ce0773c17ac425db91924c140d20bcead32cb5f8d275f9c44c3be18408,2024
AOI-00,10,2024-07-31,16,landsat,e766a359117cf5058dda411d0fbd6e59fd10e4f372b7ada7895fd1c91ff7e746,2024
AOI-00,10,2024-08-10,16,landsat,8e2c4c17ca17b13156b8f2cae944cba360effc3f7465d0680911381968c716ec,2024
AOI-00,12,2025-07-20,18,landsat,854d2cca9b03e56546faa1311fece4ef6f0ab21e0e75ff3a3c16a454ad96a847,2025
AOI-00,9,2025-07-31,18,landsat,bfb8a511c46c3f522babcd7281839fcc9f7e409e1265b02ed236c3d9092cdd86,2025
AOI-00,9,2025-08-10,18,landsat,a120381610538738e35ab8fd773d896306a84fbb7b6d27303cdf82355fd47b3e,2025
AOI-00,4,2021-07-20,7,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021
AOI-00,5,2021-07-31,7,modis,e92efc0cffc49693e882bf288eb4880f31d01e34470aaf6cd7bc876029d533e3,2021
AOI-00,5,2021-08-10,7,modis,403a065bbf64b86edbc1233814689ceb46cc3b8c7fe649ec8b4a7bce8b291cab,2021
AOI-00,4,2022-07-20,7,modis,34ea9df1f1bb0e000d4e6a220e55b3200883eded133f34bd6178c647aad3e598,2022
AOI-00,5,2022-07-31,7,modis,d4383fa715aa3e9f10537d75715830d62a54c2e687d85476fe75536fc7a323e1,2022
AOI-00,5,2022-08-10,7,modis,e4a3223d0b483fb234a30a1ebfb98b9ef55582c06992a0a76414027c8e2b8046,2022
AOI-00,4,2023-07-20,7,modis,af6cdb58df2d1ae20188217b4c29afca20c80a5f0ab50e31ab12a888b2f73a6c,2023
AOI-00,5,2023-07-31,7,modis,fd994f812b594df58003d5719d4ab87afb0e26deaa8c9f925e10b05ddf3ec932,2023
AOI-00,5,2023-08-10,7,modis,f99fccd7074a66a0142bf7547d2a71dc45e394b7690471937565dff331210c86,2023
AOI-00,5,2024-07-20,7,modis,db4495bb4f920d46e6c5f350d7d3cbeb4f88da43376d618b81f526b45b2d60a5,2024
AOI-00,5,2024-07-31,7,modis,d587bf33585877e5bef5516701fd9f929d956c06c318619b950210c87fc1307d,2024
AOI-00,5,2024-08-10,7,modis,97c51a9f14dc02b35b6dbcb2e72237b250fc6e1bf7f2a303a1b30de6eb297806,2024
AOI-00,4,2025-07-20,7,modis,15667be141384d789708828c40f841e118771c74214783658ce05ed01c8ba502,2025
AOI-00,5,2025-07-31,7,modis,b53494191ee76ff83836578bf965f83197397c8f4626fbbc70075dd61dce31e7,2025
AOI-00,5,2025-08-10,7,modis,9184de9e0fc22eba601d45cc688421b9fb4f74e197c6388aedd30be7e7883b88,2025
AOI-00,7,2021-07-20,13,sentinel2,ee78cc0643df7ed70465307a23b725b8a09d9c2d3443f239ac2c09b04f007b55,2021
AOI-00,11,2021-07-31,13,sentinel2,76ef65ee3c3de5fc9b43314c1000cc8e311b1ce22b687c4d18b62d90afbe94ba,2021
AOI-00,9,2021-08-10,13,sentinel2,9e03fa5d920443e408c52c1fa3e6a08c3fd6d60dfb22f332bd2d2097fad0bd8c,2021
AOI-00,8,2022-07-20,10,sentinel2,b1282b8693569f81f9c76d5f75c39f7eba45b3799d630d73d95ec62646bce1f7,2022
AOI-00,8,2022-07-31,10,sentinel2,36f1a476c9a7b911f7c17c2088c1b0d3ad9d73efad6f6cadf86a0489a804ce0d,2022
AOI-00,4,2022-08-10,10,sentinel2,1b5effb18d6a7c269b3caac83bc1e1e6362c333649f390acab50f0bf522b3663,2022
AOI-00,10,2023-07-20,16,sentinel2,4978189951d44c691d348bda50100fb758004303ae1a43996999970d83d6784c,2023
AOI-00,10,2023-07-31,16,sentinel2,11f6d24262a61f6c2a4a41f63feca30f301e0efd23688a53aa2907dea907af0c,2023
AOI-00,8,2023-08-10,16,sentinel2,97d2bdd2316a69677f28a820d2856a742d639c7caf0ce1535a5162f009f539e7,2023
AOI-00,6,2024-07-20,14,sentinel2,c0671c1e61d43932b1b392c0f4eda10207d55ec9abbce9cee917578f268f9e4e,2024
AOI-00,8,2024-07-31,14,sentinel2,9fd79cfaf20939ebecb867f168b8113c5c7556ee3d18c5dff7648973e86dcd52,2024
AOI-00,11,2024-08-10,14,sentinel2,6ab4e2a5f14db36e2e6d88b9c9ae442dc8d3b592ac66b96290129935c9302a40,2024
AOI-00,11,2025-07-20,19,sentinel2,db1f32c4b41546b1c6cb2a336dd4aefb48a372f48d33dac2b2393e64ddfc755b,2025
AOI-00,8,2025-07-31,19,sentinel2,137c64ff633141b652331bba3eda43647aed16a3be626de1846e39da3b514be3,2025
AOI-00,12,2025-08-10,19,sentinel2,99aae0f4b986de4105d70408a94de1bbba5d1c299f3580cf91287615a6614ce1,2025
AOI-01,5,2021-07-20,9,landsat,2a1def35f027a912bab7b2eb95130cc9b9f4694ae65670988ce769e29ef3efea,2021
AOI-01,5,2021-07-31,9,landsat,4b4d2dc64f4b27fb995f252a287a603aa2973db559b388b1a86c0251364053ea,2021
AOI-01,6,2021-08-10,9,landsat,c9f634361e6464bede6dd70b905fb12c307e376323e9c3083f679d55cd85f601,2021
AOI-01,9,2022-07-20,15,landsat,c6a09ab898de55406d16d26efeb2fce8612c3b7be4d5725d151045f392ed6117,2022
AOI-01,10,2022-07-31,15,landsat,63f70b7f85e4a01b9c7514c4c76f56ebe00d06306f0f8a6449d56c1ea53c9d7d,2022
AOI-01,10,2022-08-10,15,landsat,8604b245c59edd579c1e6c4031a00f0da26e31a8535734b3334209b54913b8c0,2022
AOI-01,8,2023-07-20,14,landsat,00069a0bb726f2738980de392aa707b3eb32bdd37e5d866ac5a10544912f6761,2023
AOI-01,9,2023-07-31,14,landsat,e390cd1a3d595e2ce9b1e660ee8a2005cd451603136209f6ae423ad570de8f9e,2023
AOI-01,9,2023-08-10,14,landsat,20b0f1b9690ab1fe8b158997d344c8c276e52515a1592ee18d4e86d68a4344c0,2023
AOI-01,10,2024-07-20,17,landsat,9799f991f4d37cc3d4d3287a9cc96296a1eba8e9c3ace324117621f5c584cc5e,2024
AOI-01,10,2024-07-31,17,landsat,f0a89fa971486ce2200011306d639fb8304779ae5eb3ca19da93eb97e65a3946,2024
AOI-01,10,2024-08-10,17,landsat,942847b94367b753df8308d1a8b0de9102e17dea0437444c9f7fdf6493ef15c1,2024
AOI-01,12,2025-07-20,18,landsat,60939b3c3b137ae0aa2fa0e9a8f1025f7e70b603116d6d20f31da4acff55da72,2025
AOI-01,12,2025-07-31,18,landsat,745d263803001d481482ab7a1032c2f7e447cf138f8ee9e2145ba2d6c0a39094,2025
AOI-01,10,2025-08-10,18,landsat,3a0a40c55e2e2761a6a81090a9a10b5f238501a95595b2b8fe3f22e2bf64f806,2025
AOI-01,4,2021-07-20,7,modis,ab0b85cec62dd7038ebabd046481e36cfb7d246afac9198585371ce7f58cd7e4,2021
AOI-01,5,2021-07-31,7,modis,6c24a3a66d59d7afe98831b196b42278274ffc48bac6e90c1b99a8166a1cf020,2021
AOI-01,5,2021-08-10,7,modis,116f15cffacd36260390c72f96462c3cecafac68c5c66faab94004862e3610d5,2021
AOI-01,4,2022-07-20,7,modis,b2bfa395bc8edfc494d8f42ff6149e79af07e70a0ecd694d26e8b1b755c0441e,2022
AOI-01,5,2022-07-31,7,modis,088081cac55078a6a20d061118a72621bb64a379460a552379058b291e804b39,2022
AOI-01,5,2022-08-10,7,modis,c468d366561aa3c3f34833c56c0e289e82c2ebebe44764bbe759be28a4171c58,2022
AOI-01,4,2023-07-20,7,modis,19b947d7e28107c6865810e84ac81cfc32347f2239f53dfa38f7e2e3a566e969,2023
AOI-01,5,2023-07-31,7,modis,d86973f56536eb90b944c4e529fb909b7c6f35afeddf0eb153d8f7241549b71d,2023
AOI-01,5,2023-08-10,7,modis,604a4c5bff9d1d78e859781ff8716fc31624c5b223a918315901a6758e941730,2023
AOI-01,5,2024-07-20,7,modis,bc3c9e666b2a57522347977f32b6950f4d127569b0d24e17dcd4e87bd48251b4,2024
AOI-01,5,2024-07-31,7,modis,70f8dead02e800f98739e5df488fe03c908d8f7f766bdda1507ef7dbbf663ab9,2024
AOI-01,5,2024-08-10,7,modis,bb07ee7bb214ae68a05c8b2950b4ab9d7c53b66c19087f478a12c3f8e594413c,2024
AOI-01,4,2025-07-20,7,modis,869b84902f6712a5a7e61363a99c72ac58e1b353937162f2c424a271eb5f4059,2025
AOI-01,5,2025-07-31,7,modis,6193fedc4c7652b934ebb26b9299bc61b9868868656faeb9e01d65cd7d5a1021,2025
