run_id,experiment_family,aoi,sensor,unit,training_years,evaluation_year,execution_status,task_id,start_timestamp,completion_timestamp,validation_status,design_hash,processing_hash
multi_aoi--AOI-00--sentinel2--W2022,multi_aoi,AOI-00,sentinel2,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:19.444529+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--sentinel2--W2023,multi_aoi,AOI-00,sentinel2,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:19.528153+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--sentinel2--W2024,multi_aoi,AOI-00,sentinel2,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:19.593342+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--sentinel2--W2022_2023,multi_aoi,AOI-00,sentinel2,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:19.665632+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--sentinel2--W2023_2024,multi_aoi,AOI-00,sentinel2,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:19.790138+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--sentinel2--W2022_2024,multi_aoi,AOI-00,sentinel2,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:19.916543+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--landsat--W2022,multi_aoi,AOI-00,landsat,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.109035+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--landsat--W2023,multi_aoi,AOI-00,landsat,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.177635+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--landsat--W2024,multi_aoi,AOI-00,landsat,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.248038+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--landsat--W2022_2023,multi_aoi,AOI-00,landsat,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.326198+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--landsat--W2023_2024,multi_aoi,AOI-00,landsat,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.450769+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--landsat--W2022_2024,multi_aoi,AOI-00,landsat,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.582908+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2022,multi_aoi,AOI-00,modis,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.780379+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2023,multi_aoi,AOI-00,modis,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.849169+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2024,multi_aoi,AOI-00,modis,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.916778+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2022_2023,multi_aoi,AOI-00,modis,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.993829+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2023_2024,multi_aoi,AOI-00,modis,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.120502+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2022_2024,multi_aoi,AOI-00,modis,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.258005+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2022,multi_aoi,AOI-01,sentinel2,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.457567+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2023,multi_aoi,AOI-01,sentinel2,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.528890+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2024,multi_aoi,AOI-01,sentinel2,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.598146+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2022_2023,multi_aoi,AOI-01,sentinel2,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.675227+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
