execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,history_length_rank_by_global_RMSE,run_id
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,15819,39,0.0619587970420514,0.0483820572791955,0.001209594369721,0.5533298137635385,0.7591731831827759,15819,2.0,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-e272caf0b3629f8ea204,rolling_origin,AOI-00,sentinel2,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.033241+00:00,R2024-H2,2,15819,39,0.0616251519768803,0.0482686752266148,0.0021346058500921,0.5581274551887887,0.7591706043119126,15819,1.0,rolling_origin--AOI-00--sentinel2--R2024-H2
rolling_origin-5f8ac5fb97abaced1244,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.067455+00:00,R2024-H3,3,15819,39,0.0624077720657041,0.0492384458724026,0.011376970264674,0.5468329038170205,0.759163345054446,15819,3.0,rolling_origin--AOI-00--sentinel2--R2024-H3
rolling_origin-ede872fd9ca5576b6ebe,rolling_origin,AOI-00,sentinel2,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.092618+00:00,R2025-H1,1,19233,39,0.0657804286961394,0.0536638642768462,-0.0301752875949149,0.5492768605473173,0.8066261669952048,19233,3.0,rolling_origin--AOI-00--sentinel2--R2025-H1
rolling_origin-ccfcb37fbe7da4fb1594,rolling_origin,AOI-00,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.120760+00:00,R2025-H2,2,19233,39,0.0636924625340405,0.0517376722639086,-0.0265058849489071,0.5774359597685467,0.8066261669952032,19233,2.0,rolling_origin--AOI-00--sentinel2--R2025-H2
rolling_origin-bab0b4eb26800afe0cd2,rolling_origin,AOI-00,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.152827+00:00,R2025-H3,3,19233,39,0.0635190706274575,0.0515710545134839,-0.0260677225284827,0.5797335457065202,0.8066261669952041,19233,1.0,rolling_origin--AOI-00--sentinel2--R2025-H3
rolling_origin-4c3f1ea4a5623c0976d8,rolling_origin,AOI-00,landsat,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.224882+00:00,R2024-H1,1,20186,39,0.0533728216406001,0.0434115904109187,0.0227985451994742,0.667898639718175,0.8542145165039157,20186,3.0,rolling_origin--AOI-00--landsat--R2024-H1
rolling_origin-c831d1003c1c1ae1a639,rolling_origin,AOI-00,landsat,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.254868+00:00,R2024-H2,2,20186,39,0.052239991013891,0.0424381717845947,0.0192725112100116,0.6818466390847546,0.8542145165039182,20186,2.0,rolling_origin--AOI-00--landsat--R2024-H2
rolling_origin-7a0f9ecb938966029535,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.287303+00:00,R2024-H3,3,20186,39,0.0519406826048345,0.042224999406104,0.0191439408199023,0.6854819068708957,0.8542145165039171,20186,1.0,rolling_origin--AOI-00--landsat--R2024-H3
rolling_origin-2a05c85d513f9483cae8,rolling_origin,AOI-00,landsat,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.313852+00:00,R2025-H1,1,20251,39,0.0545914869893199,0.0434553527861851,-0.0266209590273057,0.6913419838552175,0.8753008071620639,20251,3.0,rolling_origin--AOI-00--landsat--R2025-H1
rolling_origin-ce58854ce20207e5069d,rolling_origin,AOI-00,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.343661+00:00,R2025-H2,2,20251,39,0.0499264728445752,0.0402435700837246,-0.015152883361565,0.7418396842401008,0.8753008071620672,20251,2.0,rolling_origin--AOI-00--landsat--R2025-H2
rolling_origin-2181f6b6e0bb0f057e2d,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.376024+00:00,R2025-H3,3,20251,39,0.0494157986509318,0.0398007839971875,-0.0135648317347084,0.7470938734763888,0.875300807162066,20251,1.0,rolling_origin--AOI-00--landsat--R2025-H3
rolling_origin-11f50937d0c846a20e4e,rolling_origin,AOI-00,modis,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.450241+00:00,R2024-H1,1,20256,39,0.0456391266530219,0.0373710501344231,0.0173481737040432,0.7595941942574856,0.8921070756870437,20256,3.0,rolling_origin--AOI-00--modis--R2024-H1
