aoi_id,year,landsat_valid_rows,modis_valid_rows,sentinel2_valid_rows,unique_fcover_pair_support
AOI-00,2021,18094,20248,19974,20256
AOI-00,2022,18588,20256,18240,20256
AOI-00,2023,19556,20256,20246,20256
AOI-00,2024,20186,20256,15819,20256
AOI-00,2025,20251,20256,19233,20256
AOI-01,2021,11150,19878,19878,19878
AOI-01,2022,19149,19878,19878,19878
AOI-01,2023,19878,19878,19729,19878
AOI-01,2024,19872,19878,19878,19878
AOI-01,2025,14738,19878,19878,19878
AOI-02,2021,1040,8572,17869,18129
AOI-02,2022,15357,18558,18847,18995
AOI-02,2023,2686,9553,7586,13753
AOI-02,2024,1542,17909,18284,18780
AOI-02,2025,7600,16568,18534,18864
AOI-03,2021,714,14860,19366,19578
AOI-03,2022,16230,18858,19267,19594
AOI-03,2023,11178,17967,16731,19103
AOI-03,2024,15551,18695,19142,19591
AOI-03,2025,14402,17860,18857,19592
