sensor,aoi_id,year,valid_rows,unique_pixel_identities,spatial_blocks,nominal_dates
landsat,AOI-00,2021,18094,6579,39,3
landsat,AOI-00,2022,18588,6723,39,3
landsat,AOI-00,2023,19556,6752,39,3
landsat,AOI-00,2024,20186,6752,39,3
landsat,AOI-00,2025,20251,6752,39,3
landsat,AOI-01,2021,11150,6501,35,3
landsat,AOI-01,2022,19149,6626,35,3
landsat,AOI-01,2023,19878,6626,35,3
landsat,AOI-01,2024,19872,6626,35,3
landsat,AOI-01,2025,14738,5866,35,3
landsat,AOI-02,2021,1040,520,9,2
landsat,AOI-02,2022,15357,5487,37,3
landsat,AOI-02,2023,2686,1175,15,3
landsat,AOI-02,2024,1542,1360,30,3
landsat,AOI-02,2025,7600,4062,36,3
landsat,AOI-03,2021,714,670,13,3
landsat,AOI-03,2022,16230,6530,35,3
landsat,AOI-03,2023,11178,5906,35,3
landsat,AOI-03,2024,15551,6542,35,3
landsat,AOI-03,2025,14402,5790,35,3
modis,AOI-00,2021,20248,6752,39,3
modis,AOI-00,2022,20256,6752,39,3
modis,AOI-00,2023,20256,6752,39,3
modis,AOI-00,2024,20256,6752,39,3
modis,AOI-00,2025,20256,6752,39,3
modis,AOI-01,2021,19878,6626,35,3
modis,AOI-01,2022,19878,6626,35,3
modis,AOI-01,2023,19878,6626,35,3
modis,AOI-01,2024,19878,6626,35,3
modis,AOI-01,2025,19878,6626,35,3
modis,AOI-02,2021,8572,3581,31,3
modis,AOI-02,2022,18558,6337,38,3
modis,AOI-02,2023,9553,4341,35,3
modis,AOI-02,2024,17909,6337,38,3
modis,AOI-02,2025,16568,6127,38,3
modis,AOI-03,2021,14860,6101,35,3
modis,AOI-03,2022,18858,6495,35,3
modis,AOI-03,2023,17967,6542,35,3
modis,AOI-03,2024,18695,6542,35,3
modis,AOI-03,2025,17860,6542,35,3
sentinel2,AOI-00,2021,19974,6735,39,3
sentinel2,AOI-00,2022,18240,6561,39,3
sentinel2,AOI-00,2023,20246,6752,39,3
sentinel2,AOI-00,2024,15819,6717,39,3
sentinel2,AOI-00,2025,19233,6752,39,3
sentinel2,AOI-01,2021,19878,6626,35,3
sentinel2,AOI-01,2022,19878,6626,35,3
sentinel2,AOI-01,2023,19729,6626,35,3
sentinel2,AOI-01,2024,19878,6626,35,3
sentinel2,AOI-01,2025,19878,6626,35,3
sentinel2,AOI-02,2021,17869,6331,38,3
sentinel2,AOI-02,2022,18847,6337,38,3
sentinel2,AOI-02,2023,7586,3758,37,3
sentinel2,AOI-02,2024,18284,6334,38,3
sentinel2,AOI-02,2025,18534,6337,38,3
sentinel2,AOI-03,2021,19366,6542,35,3
sentinel2,AOI-03,2022,19267,6538,35,3
sentinel2,AOI-03,2023,16731,6368,35,3
sentinel2,AOI-03,2024,19142,6542,35,3
sentinel2,AOI-03,2025,18857,6494,35,3
