Sensor,AOI,sensor,history,train_years,baseline,training_FCOVER_mean,prediction_variance,RMSE,MAE,Bias,R2,Pearson_r,n,displayed_OLS_history,is_displayed_OLS_history,OLS_RMSE_displayed,OLS_skill_vs_baseline
Sentinel-2,AOI-01,sentinel2,W2022,2022,ZERO,0.000139853107648,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,True,0.00132426176805,0.254578763698
Sentinel-2,AOI-01,sentinel2,W2022,2022,TRAINING_MEAN,0.000139853107648,7.34683969264e-40,0.00175473157583,0.000467186406704,-0.000205252047224,-0.0138719242863,4.93383782799e-16,19878,W2022,True,0.00132426176805,0.245319462939
Sentinel-2,AOI-01,sentinel2,W2023,2023,ZERO,0.000186121957803,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2023,2023,TRAINING_MEAN,0.000186121957803,7.34683969264e-40,0.00174992290039,0.000507575635393,-0.00015898319707,-0.00832269859415,4.93383782799e-16,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2024,2024,ZERO,0.000183117019413,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2024,2024,TRAINING_MEAN,0.000183117019413,0,0.001750198462,0.000504952550026,-0.00016198813546,-0.00864028619024,,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2022_2023,2022;2023,ZERO,0.000162900501915,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2022_2023,2022;2023,TRAINING_MEAN,0.000162900501915,2.93873587706e-39,0.00175218521735,0.000487305049692,-0.000182204652958,-0.0109315222062,-4.93383782799e-16,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2023_2024,2023;2024,ZERO,0.000184613836377,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2023_2024,2023;2024,TRAINING_MEAN,0.000184613836377,7.34683969264e-40,0.00175006056,0.000506259158737,-0.000160491318496,-0.00848134646388,4.93383782799e-16,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2022_2024,2022;2023;2024,ZERO,0.000169656220748,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
Sentinel-2,AOI-01,sentinel2,W2022_2024,2022;2023;2024,TRAINING_MEAN,0.000169656220748,0,0.00175149559772,0.000493202284484,-0.000175448934124,-0.0101359202062,,19878,W2022,False,,
