model,Sensor,AOI,sensor,configuration,history,n,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
DPM,Sentinel-2,AOI-00,sentinel2,P1/P99,NA,19233,0.010034835959,0.010034835959,0.0200696719181,0.721734670983,0.722374375547,0.0356945074433,0.0341592103642,0.198642319194,0.178084122982,0.155008938239,-3.11017212754,0.806626166995,0.197261261452,0.176979302665,0.155648642804,-3.05321898111,0.802747139976,0.00138105774187
DPM,Sentinel-2,AOI-00,sentinel2,P2/P98,NA,19233,0.0200176779494,0.0200176779494,0.0400353558987,0.694024446106,0.696738766585,0.0490377792039,0.0433008339562,0.199598785072,0.174496036386,0.127298713363,-3.14984850564,0.806626166995,0.193627608663,0.170649624934,0.130013033842,-2.90526958841,0.792419745651,0.00597117640893
DPM,Sentinel-2,AOI-00,sentinel2,P5/P95,NA,19233,0.050018197889,0.050018197889,0.100036395778,0.611314265532,0.625931256136,0.101941512031,0.069096180351,0.251120514742,0.197467813624,0.0445885327881,-5.56872138533,0.806626166995,0.208445837865,0.177748888512,0.0592055233927,-3.52587871267,0.752308936663,0.0426746768766
DPM,Sentinel-2,AOI-00,sentinel2,P10/P90,NA,19233,0.100036395778,0.0999844018094,0.200020797587,0.5268324887,0.56589312206,0.209147762832,0.101147123591,0.384773648707,0.280087344162,-0.0398932440434,-14.4215170726,0.806626166995,0.258527203785,0.221237195579,-0.000832610683253,-5.96191879858,0.704583461903,0.126246444922
DPM,Landsat 8/9,AOI-00,landsat,P1/P99,NA,20251,0.010024196336,0.010024196336,0.020048392672,0.770277391722,0.771095126912,0.0315305439159,0.0297744871292,0.228911451778,0.218472377106,0.204351164899,-4.42703661835,0.875300807162,0.227810378092,0.217308245442,0.205168900089,-4.37495363339,0.873663381941,0.0011010736862
DPM,Landsat 8/9,AOI-00,landsat,P2/P98,NA,20251,0.0199990123944,0.0199990123944,0.0399980247889,0.747712464059,0.751068486014,0.0453005751298,0.038115926147,0.226693842361,0.212083323554,0.181786237236,-4.32239570258,0.875300807162,0.22064583816,0.207646733085,0.185142259191,-4.04218983849,0.869589882502,0.00604800420028
DPM,Landsat 8/9,AOI-00,landsat,P5/P95,NA,20251,0.0500222211249,0.0500222211249,0.10004444225,0.651192380473,0.672209398419,0.113529150642,0.0633807112305,0.269249093732,0.206755473736,0.0852661536502,-6.50820657344,0.875300807162,0.206131635183,0.180693892039,0.106283171596,-3.40065182837,0.845703103703,0.0631174585493
DPM,Landsat 8/9,AOI-00,landsat,P10/P90,NA,20251,0.0999950619722,0.0999950619722,0.199990123944,0.516629858157,0.582887625906,0.300109316434,0.100222531248,0.466861523659,0.294573075004,-0.0492963686656,-21.5737587144,0.875300807162,0.245206962475,0.207915490403,0.0169613990835,-5.2272070727,0.804288071622,0.221654561185
DPM,MODIS,AOI-00,modis,P1/P99,NA,20256,0.0100217219589,0.0100217219589,0.0200434439179,0.750843885923,0.751899797866,0.0324276933971,0.030190265727,0.209199440405,0.197259782005,0.185032866009,-3.50854054813,0.918938144275,0.20763600202,0.19578614988,0.186088777952,-3.44140379222,0.917511641029,0.00156343838462
DPM,MODIS,AOI-00,modis,P2/P98,NA,20256,0.0200434439179,0.0200434439179,0.0400868878357,0.715653994373,0.719655907864,0.049395809862,0.0408588633351,0.203252246237,0.182962691896,0.149842974458,-3.25584351397,0.918938144275,0.194799365985,0.177771277149,0.15384488795,-2.90921918109,0.911043756319,0.00845288025102
DPM,MODIS,AOI-00,modis,P5/P95,NA,20256,0.0500098736177,0.0500098736177,0.100019747235,0.61713437484,0.636952183946,0.116209937117,0.0689490920202,0.258501984544,0.190599548557,0.0513233549259,-5.88402923572,0.918938144275,0.19541867177,0.165437134052,0.0711411640318,-2.93411505756,0.8799306704,0.0630833127734
DPM,MODIS,AOI-00,modis,P10/P90,NA,20256,0.100019747235,0.100019747235,0.200039494471,0.513490675105,0.564402863908,0.248232787433,0.102655156808,0.412868269289,0.275923324178,-0.0523203448094,-16.5605436299,0.918938144275,0.243634632039,0.206600747186,-0.00140815600584,-5.11495108462,0.839584926875,0.16923363725
