Sensor,AOI,sensor,minimum_RMSE,maximum_RMSE,RMSE_range,RMSE_CV,relative_endpoint_sensitivity,endpoint_minimum_RMSE,endpoint_minimum_absolute_Bias,minimum_absolute_Bias,minimum_clipping_fraction,maximum_clipping_fraction,clipping_fraction_range,minimum_endpoint_spread,maximum_endpoint_spread,endpoint_spread_range
Sentinel-2,AOI-00,sentinel2,0.193627608663,0.258527203785,0.064899595122,0.140086463957,0.335177382864,P2/P98,P10/P90,0.000832610683253,0.0200696719181,0.200020797587,0.179951125669,0.263979589939,0.638993241787,0.375013651848
Landsat 8/9,AOI-00,landsat,0.206131635183,0.245206962475,0.0390753272921,0.0721928750278,0.189564921743,P5/P95,P10/P90,0.0169613990835,0.020048392672,0.199990123944,0.179941731273,0.182943046093,0.564403779805,0.381460733712
MODIS,AOI-00,modis,0.194799365985,0.243634632039,0.0488352660532,0.109088574494,0.250695200193,P2/P98,P10/P90,0.00140815600584,0.0200434439179,0.200039494471,0.179996050553,0.180646598339,0.49980584532,0.319159246981
Sentinel-2,AOI-01,sentinel2,0.421517092994,0.568611152423,0.14709405943,0.130972933796,0.348963451007,P1/P99,P1/P99,0.3780390419,0.0200221350236,0.200020122749,0.179997987725,0.0185145569965,0.0403048480023,0.0217902910057
Landsat 8/9,AOI-01,landsat,0.485953074062,0.584328872745,0.0983757986834,0.0828996950658,0.202438885428,P1/P99,P1/P99,0.449700685496,0.0200841362464,0.200027140725,0.179943004478,0.0197700999677,0.0436196650192,0.0238495650515
MODIS,AOI-01,modis,0.43031270052,0.562714100325,0.132401399805,0.119048693221,0.307686479263,P1/P99,P1/P99,0.381585844128,0.0199718281517,0.200020122749,0.180048294597,0.0208159808069,0.040641191043,0.019825210236
Sentinel-2,AOI-02,sentinel2,0.180034655445,0.222199268021,0.0421646125751,0.0941199966353,0.234202756524,P1/P99,P10/P90,0.139267814667,0.0200712204597,0.200064745872,0.179993525413,0.512375332415,0.732156295702,0.219780963287
Landsat 8/9,AOI-02,landsat,0.21109203457,0.229136647429,0.0180446128589,0.036576713873,0.0854822063544,P1/P99,P10/P90,0.129024211163,0.0198684210526,0.199868421053,0.18,0.35598423779,0.644723508954,0.288739271164
MODIS,AOI-02,modis,0.203979151146,0.22160024834,0.0176210971936,0.0357608516254,0.0863867561689,P1/P99,P10/P90,0.146516839562,0.0200386286818,0.200024142926,0.179985514244,0.395011529326,0.636261123121,0.241249593794
Sentinel-2,AOI-03,sentinel2,0.207473110303,0.378064928692,0.170591818389,0.270661840179,0.822235797881,P1/P99,P1/P99,0.169252776782,0.0200456064061,0.200031818423,0.179986212017,0.267460167408,0.51916909337,0.251708925962
Landsat 8/9,AOI-03,landsat,0.20968661557,0.371868817068,0.162182201498,0.266258082458,0.773450422943,P1/P99,P1/P99,0.17219406351,0.0201360922094,0.200111095681,0.179975003472,0.257574630529,0.504951231331,0.247376600802
MODIS,AOI-03,modis,0.219340722849,0.390797601392,0.171456878543,0.266522501586,0.781691955399,P1/P99,P1/P99,0.189463774387,0.0200447928331,0.2,0.179955207167,0.233002464473,0.459777438194,0.22677497372
