Sensor,AOI,sensor,history,train_years,slope,intercept,train_n,training_FCOVER_mean,n,RMSE,MAE,Bias,R2,Pearson_r,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
Sentinel-2,AOI-00,sentinel2,W2022,2022,0.676320557773,0.129900026751,18240,0.516575658724,19233,0.0630834398164,0.0511500297482,-0.0248776567618,0.585478378091,0.806632031051,5.19939686996e-05,0,5.19939686996e-05,0.541847616335,0.541848075982,0.00666651868333,0.00666601650307,0.0630844921,0.0511504893946,-0.0248781164081,0.585464548854,0.806626166995,0.0630834398164,0.0511500297482,-0.0248776567618,0.585478378091,0.806632031051,1.05228352688e-06
Sentinel-2,AOI-00,sentinel2,W2023,2023,0.707277333121,0.11063274981,20246,0.540646844944,19233,0.0635078202004,0.0512761884867,-0.0252877960974,0.579882406775,0.806645532138,5.19939686996e-05,0,5.19939686996e-05,0.541436145031,0.541437936646,0.00729077009068,0.00728876826166,0.0635122556242,0.0512779801016,-0.0252895877123,0.579823722203,0.806626166995,0.0635078202004,0.0512761884867,-0.0252877960974,0.579882406775,0.806645532138,4.43542379032e-06
Sentinel-2,AOI-00,sentinel2,W2024,2024,0.589113345972,0.177720863413,15819,0.518155383698,19233,0.0657804286961,0.0536638642768,-0.0301752875949,0.549276860547,0.806626166995,0,0,0,0.536550445149,0.536550445149,0.00505814932479,0.00505814932479,0.0657804286961,0.0536638642768,-0.0301752875949,0.549276860547,0.806626166995,0.0657804286961,0.0536638642768,-0.0301752875949,0.549276860547,0.806626166995,0
Sentinel-2,AOI-00,sentinel2,W2022_2023,2022;2023,0.693085676448,0.119760487293,38486,0.529238581247,19233,0.0631696009273,0.05111043214,-0.0248048381325,0.584345274562,0.806639784125,5.19939686996e-05,0,5.19939686996e-05,0.541919728952,0.541920894611,0.00700112401431,0.00699983449296,0.063172391112,0.0511115977988,-0.0248060037913,0.584308555031,0.806626166995,0.0631696009273,0.05111043214,-0.0248048381325,0.584345274562,0.806639784125,2.79018469569e-06
Sentinel-2,AOI-00,sentinel2,W2023_2024,2023;2024,0.658983571443,0.138832235498,36065,0.530781534381,19233,0.063692462534,0.0517376722639,-0.0265058849489,0.577435959769,0.806626166995,0,0,0,0.540219847795,0.540219847795,0.00632911662939,0.00632911662939,0.063692462534,0.0517376722639,-0.0265058849489,0.577435959769,0.806626166995,0.063692462534,0.0517376722639,-0.0265058849489,0.577435959769,0.806626166995,0
Sentinel-2,AOI-00,sentinel2,W2022_2024,2022;2023;2024,0.663924924279,0.136260614515,54305,0.526010055291,19233,0.0635190706275,0.0515710545135,-0.0260677225285,0.579733545707,0.806626166995,0,0,0,0.540658010215,0.540658010215,0.00642438957538,0.00642438957538,0.0635190706275,0.0515710545135,-0.0260677225285,0.579733545707,0.806626166995,0.0635190706275,0.0515710545135,-0.0260677225285,0.579733545707,0.806626166995,0
Landsat 8/9,AOI-00,landsat,W2022,2022,0.913530019294,-0.0431555740518,18588,0.514044760866,20251,0.0486036339772,0.0390026305283,-0.00858203557608,0.75533874689,0.875300807162,0,0,0,0.557344191247,0.557344191247,0.00838217909959,0.00838217909959,0.0486036339772,0.0390026305283,-0.00858203557608,0.75533874689,0.875300807162,0.0486036339772,0.0390026305283,-0.00858203557608,0.75533874689,0.875300807162,0
Landsat 8/9,AOI-00,landsat,W2023,2023,0.854479387937,0.00110152037763,19556,0.541223973313,20251,0.047622661005,0.0388853851638,-0.00314127944034,0.765115136904,0.875300807162,0,0,0,0.562784947383,0.562784947383,0.00733355361878,0.00733355361878,0.047622661005,0.0388853851638,-0.00314127944034,0.765115136904,0.875300807162,0.047622661005,0.0388853851638,-0.00314127944034,0.765115136904,0.875300807162,0
Landsat 8/9,AOI-00,landsat,W2024,2024,0.821342425568,-0.000595910454416,20186,0.52242247197,20251,0.0545914869893,0.0434553527862,-0.0266209590273,0.691341983855,0.875300807162,0,0,0,0.539305267796,0.539305267796,0.00677578789337,0.00677578789337,0.0545914869893,0.0434553527862,-0.0266209590273,0.691341983855,0.875300807162,0.0545914869893,0.0434553527862,-0.0266209590273,0.691341983855,0.875300807162,0
Landsat 8/9,AOI-00,landsat,W2022_2023,2022;2023,0.886085509352,-0.022550811709,38144,0.527979237549,20251,0.047978478439,0.0388599027272,-0.00601764566874,0.761592093413,0.875300807162,0,0,0,0.559908581154,0.559908581154,0.00788610505804,0.00788610505804,0.047978478439,0.0388599027272,-0.00601764566874,0.761592093413,0.875300807162,0.047978478439,0.0388599027272,-0.00601764566874,0.761592093413,0.875300807162,0
