AOI_ID,AOI_geometry_hash,GEE_collection_ID,acquisition_datetime,active_source_revision,cloudy_pixel_percentage,exclusion_reason,experiment_design_hash,identity_correction,included,legacy_system_id,manifest_version,mgrs_tile,nominal_date,platform,processing_baseline_if_available,processing_version,product_id,product_version,query_config_hash,sensor,source_manifest_hash,system:id,system:index,system:time_start,window_end,window_start,year
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-07-19T04:18:00.823000+00:00,final-source-scenes-r2-asset-verified,16.424474,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210719T040549_20210719T040614_T47SNB,source-scenes-v1,47SNB,2021-07-20,Sentinel-2,03.01,03.01,S2B_MSIL2A_20210719T040549_N0301_R047_T47SNB_20210719T070756,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210719T040549_20210719T040614_T47SNB,20210719T040549_20210719T040614_T47SNB,1626668280823,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-07-19T04:17:46.287000+00:00,final-source-scenes-r2-asset-verified,40.819864,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210719T040549_20210719T040614_T47SNC,source-scenes-v1,47SNC,2021-07-20,Sentinel-2,03.01,03.01,S2B_MSIL2A_20210719T040549_N0301_R047_T47SNC_20210719T070756,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210719T040549_20210719T040614_T47SNC,20210719T040549_20210719T040614_T47SNC,1626668266287,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-07-24T04:18:02.179000+00:00,final-source-scenes-r2-asset-verified,51.147109,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210724T040551_20210724T040840_T47SNB,source-scenes-v1,47SNB,2021-07-20,Sentinel-2,03.01,03.01,S2A_MSIL2A_20210724T040551_N0301_R047_T47SNB_20210724T070941,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210724T040551_20210724T040840_T47SNB,20210724T040551_20210724T040840_T47SNB,1627100282179,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-07-24T04:17:47.650000+00:00,final-source-scenes-r2-asset-verified,62.492681,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210724T040551_20210724T040840_T47SNC,source-scenes-v1,47SNC,2021-07-20,Sentinel-2,03.01,03.01,S2A_MSIL2A_20210724T040551_N0301_R047_T47SNC_20210724T070941,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210724T040551_20210724T040840_T47SNC,20210724T040551_20210724T040840_T47SNC,1627100267650,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-07-29T04:18:00.571000+00:00,final-source-scenes-r2-asset-verified,15.226923,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210729T040549_20210729T040614_T47SNB,source-scenes-v1,47SNB,2021-07-20,Sentinel-2,03.01,03.01,S2B_MSIL2A_20210729T040549_N0301_R047_T47SNB_20210729T071155,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210729T040549_20210729T040614_T47SNB,20210729T040549_20210729T040614_T47SNB,1627532280571,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-07-29T04:17:46.034000+00:00,final-source-scenes-r2-asset-verified,33.630183,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210729T040549_20210729T040614_T47SNC,source-scenes-v1,47SNC,2021-07-20,Sentinel-2,03.01,03.01,S2B_MSIL2A_20210729T040549_N0301_R047_T47SNC_20210729T071155,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210729T040549_20210729T040614_T47SNC,20210729T040549_20210729T040614_T47SNC,1627532266034,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-08-03T04:17:47.304000+00:00,final-source-scenes-r2-asset-verified,59.465864,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,True,COPERNICUS/S2_SR_HARMONIZED/20210803T040551_20210803T041219_T47SNC,source-scenes-v1,47SNC,2021-07-20,Sentinel-2,03.01,03.01,S2A_MSIL2A_20210803T040551_N0301_R047_T47SNC_20210803T070446,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210803T040551_20210803T041219_T47SNC,20210803T040551_20210803T041219_T47SNC,1627964267304,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-08-08T04:17:59.736000+00:00,final-source-scenes-r2-asset-verified,51.412153,OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,False,COPERNICUS/S2_SR_HARMONIZED/20210808T040549_20210808T040613_T47SNB,source-scenes-v1,47SNB,2021-07-20,Sentinel-2,03.01,03.01,S2B_MSIL2A_20210808T040549_N0301_R047_T47SNB_20210808T070913,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210808T040549_20210808T040613_T47SNB,20210808T040549_20210808T040613_T47SNB,1628396279736,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-08-08T04:17:45.200000+00:00,final-source-scenes-r2-asset-verified,60.901698,OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,False,COPERNICUS/S2_SR_HARMONIZED/20210808T040549_20210808T040613_T47SNC,source-scenes-v1,47SNC,2021-07-20,Sentinel-2,03.01,03.01,S2B_MSIL2A_20210808T040549_N0301_R047_T47SNC_20210808T070913,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210808T040549_20210808T040613_T47SNC,20210808T040549_20210808T040613_T47SNC,1628396265200,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,COPERNICUS/S2_SR_HARMONIZED,2021-08-13T04:18:01.320000+00:00,final-source-scenes-r2-asset-verified,4.578067,OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,RESTORE_SYSTEM_INDEX_FROM_EXACT_SYSTEM_ID,False,COPERNICUS/S2_SR_HARMONIZED/20210813T040551_20210813T041349_T47SNB,source-scenes-v1,47SNB,2021-07-20,Sentinel-2,03.01,03.01,S2A_MSIL2A_20210813T040551_N0301_R047_T47SNB_20210813T062026,HARMONIZED,553ecb608d3d9dfa51dadc139873baff520ef7ea9553c223c84d9a2cf1ba52c4,sentinel2,b11da2ebfdf0c97a0c2ab9773a724df2a7fada0c02bfc82a6f5ef0b123d559d4,COPERNICUS/S2_SR_HARMONIZED/20210813T040551_20210813T041349_T47SNB,20210813T040551_20210813T041349_T47SNB,1628828281320,2021-08-04,2021-07-05,2021
