path,scientific_role,entry_point,inputs,outputs,called_by,calls,README_documented,imports_resolve,status
code/primary_analysis/build_canonical_nonoverlap_outputs.py,primary analysis,yes,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: public entry point
code/reproduce_results.py,utilities,yes,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: public entry point
code/sensitivities/build_processing_sensitivities.py,active sensitivities,yes,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: public entry point
code/src/additional_sensitivity_analysis/__init__.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/aerosol.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/aggregation.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/config.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/downstream.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/io_utils.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/production.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/schemas.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/temporal.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/additional_sensitivity_analysis/validation.py,aggregation/aerosol evaluation,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/aoi_expansion/__init__.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/candidate_generation.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/eligibility.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/environmental_api.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/environmental_distance.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/environmental_features.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/mapping.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/aoi_expansion/select_final_aois.py,AOI preparation/provenance utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/audit/__init__.py,audit utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/audit/leakage.py,audit utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/audit/methodology_contract.py,audit utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/audit/provenance.py,audit utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/audit/scientific_checks.py,audit utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/__init__.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/blocks.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/checksum.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/grid.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/logging.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/manifests.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/paths.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/common/raster_utils.py,utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/__init__.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/build_pairs.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/catalog.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/clip.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/common_support.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/download.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/fcover.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/fcover_cache.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/gee_cloud.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/landsat.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/materialization.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
