manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Abstract,headline,,pair count,"681,545",repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,pair_rows,681545,integer,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract,headline,,sensor mean RMSE,0.045182 / 0.037984 / 0.034141,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,groupby sensor mean,machine-derived,6 decimals,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract,headline,,run counts,72 / 72 / 48,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,run keys,machine-derived,integer,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,block inference,,Holm-supported contrasts,36 (28 lower; 8 higher),repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,significant=True,machine-derived,integer,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results; Table 6,aggregation,,active sensitivity summary,1/12 histories; 2/12 RO units,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_history_changes.csv,sum booleans,machine-derived,integer,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results; Table 6,aerosol,,final aerosol summary,12/12 operational and matched; 14 changes; 3 not comparable,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Landsat Aerosol QA/summaries/AEROSOL_QA_FINAL_SUMMARY.csv,summary row=1,machine-derived,integer,Code/scripts/37_postprocess_phase1_aerosol.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Table 2,primary performance,,12 selected configurations,source-derived table cells,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,selected 2025 windows,machine-derived,source-table precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Table 3,DPM/OLS,,12 selected comparisons,source-derived table cells,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_vs_ols_selected.csv,all rows,machine-derived,source-table precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Table 4,AOI-01 diagnostic,,baseline and clipping diagnostic,source-derived table cells,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/aoi01_baseline_clipping.csv,all rows,machine-derived,source-table precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Table 5,block inference,,sensor summary and extrema,source-derived table cells,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,all 72 rows,machine-derived,source-table precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
