path,extension,size_bytes,git_status,scientific_role,authoritative,manuscript_facing,sha256_or_status,legacy_candidate,temporary_generated,required_for_reproduction,safe_to_remove_candidate,contains_absolute_local_path,sensitive_information_scan
.DS_Store,[none],10244,untracked,repository support artifact,no,no,e46aacfe2817b2c668b59d93ee9893f3120df21b846a9243a7ddde071b7130ea,no,yes,no,yes,no,no
.gitignore,[none],510,tracked,repository support artifact,no,no,aad5d32ffe2cb2e01fa1774c135cad19360280e4399bca20a0f410c86af6a14f,no,no,no,no,no,no
Code/.pytest_cache/.gitignore,[none],37,untracked,analysis code or configuration,yes,yes,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,no,yes,yes,yes,no,no
Code/.pytest_cache/CACHEDIR.TAG,.tag,191,untracked,analysis code or configuration,yes,yes,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,no,yes,yes,yes,no,no
Code/.pytest_cache/README.md,.md,302,untracked,analysis code or configuration,yes,yes,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,no,yes,yes,yes,no,no
Code/.pytest_cache/v/cache/lastfailed,[none],314,untracked,analysis code or configuration,yes,yes,4a25dfdeec4904309b64d7867a52c73653628fbebcf9ea58b0109a787b3ccf22,no,yes,yes,yes,no,no
Code/.pytest_cache/v/cache/nodeids,[none],10688,untracked,analysis code or configuration,yes,yes,a3d01a187fcd12f4ec7d2db3cd5b777cb47a0a4f78e243b64a105e23f15f7fc6,no,yes,yes,yes,no,candidate
Code/Additional Sensitivity Analysis/IMPLEMENTATION_AUDIT.md,.md,5797,tracked,analysis code or configuration,yes,yes,3461fc96c38b2b3a213914bfae86e1d1b794faa6c64766945fe0e8b31228e10a,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/PRODUCTION_INTEGRATION_AUDIT.md,.md,917,tracked,analysis code or configuration,yes,yes,46e4c0149a4481aaedb6a734b7b744332b42083a61b47f2aa61314e6d7c8fe18,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/README.md,.md,7885,tracked,analysis code or configuration,yes,yes,a35f386ad035cca738d12a1f9a01876a2a009ca79cbd3f84df6182a1aa5bd00b,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/__pycache__/finalize_sensitivity_results.cpython-311.pyc,.pyc,853,untracked,analysis code or configuration,yes,yes,f9a2fa0e8bc03cac87cbe4e7e15aeaad0c23ce80708766749ebb5bf91118d2a9,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/aggregation_order/__init__.py,.py,46,tracked,analysis code or configuration,yes,yes,626737e12972b5ff7f0ad70b42a98a61db84c2dfbe10ce97c49b2b6da05ed60c,no,no,yes,no,no,no
