AOI,sensor,method,n,raw_low_clip_ratio,raw_high_clip_ratio,RMSE,MAE,Bias,R2,Pearson_r
AOI-01,landsat,zero,9601,,,0.0016390201328840327,0.00033746486150039434,-0.00033746486150039434,-0.04426912931514604,
AOI-01,landsat,training_mean,9601,,,0.0016113647656836496,0.0004959622767632662,-0.00015489333373328775,-0.009326298623670848,-7.65323905543505e-18
AOI-01,landsat,selected_OLS,9601,0.3567336735756692,0.0,0.0012098680224037,0.0005576301745310038,0.0001593946556148428,0.4309900517005192,0.7134506875280094
AOI-01,landsat,selected_DPM,9601,0.009998958441828977,0.009998958441828977,0.49313818276448806,0.46216686804317736,0.46216686804317736,-94531.49577373685,0.4395210632237413
AOI-01,modis,zero,19714,,,0.0017626195791614287,0.0003433093367244802,-0.0003433093367244802,-0.03943212527289819,
AOI-01,modis,training_mean,19714,,,0.001740830681969605,0.00046513312024077774,-0.00020377679731939713,-0.01389275637628229,-3.3706119085730616e-16
AOI-01,modis,selected_OLS,19714,0.38500557979101147,0.0,0.0014037569395782112,0.0005410276030743692,9.589164980583136e-05,0.34073079825644714,0.6654250687974319
AOI-01,modis,selected_DPM,19714,0.010043623820635082,0.010043623820635082,0.43289715183737476,0.38678799011061427,0.38678799011061427,-62696.23843099648,0.45834408169926033
AOI-01,sentinel2,zero,19409,,,0.0017563469579076922,0.00032479778670449716,-0.00032479778670449716,-0.035409318295200665,
AOI-01,sentinel2,training_mean,19409,,,0.0017315502227899342,0.000489699468421283,-0.00013785913005820923,-0.006379145540313491,-7.187242256821023e-17
AOI-01,sentinel2,selected_OLS,19409,0.8092637436240919,0.0,0.0013354750127916484,0.0002968420766248868,-0.00021847304769869694,0.40136379818500034,0.8398846313982713
AOI-01,sentinel2,selected_DPM,19409,0.010046885465505693,0.010046885465505693,0.4513743049259327,0.4124638233320331,0.4124638233320331,-68384.67040668929,0.41962187836890613
