AOI,sensor,quantile_configuration,NDVI_low,NDVI_high,target_evaluation_pairs,unique_target_identities,target_year,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,RMSE_DPM,MAE_DPM,Bias_DPM,R2_DPM,Pearson_r_DPM,n_DPM,OLS_history,n_OLS,RMSE_OLS,MAE_OLS,Bias_OLS,R2_OLS,Pearson_r_OLS,slope,intercept,Delta_RMSE_DPM_minus_OLS,Delta_MAE_DPM_minus_OLS,RMSE_ratio_DPM_over_OLS
AOI-00,landsat,P5/P95,0.4677902996540069,0.7637859106063843,20017,6739,2025,1001,1001,0.050007493630414145,0.050007493630414145,0.10001498726082829,0.19712869504572167,0.1670796522037335,0.07046927563348877,-3.1602261036002366,0.8207159103281892,20017,W2022,20017,0.04922975883032955,0.04030136819227294,-0.001051825924206623,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.01125216357510872,0.14789893621539213,0.12677828401146057,4.004258800558541
AOI-00,modis,P2/P98,0.3989901065826416,0.8038732290267945,18641,6752,2025,373,373,0.020009656134327557,0.020009656134327557,0.04001931226865511,0.18336739021571677,0.16302736379645355,0.13480397757222423,-2.5254322598929653,0.8950487621720501,18641,W2023,18641,0.04183470229949771,0.03296517441319166,-0.0005316982009135427,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,0.14153268791621906,0.1300621893832619,4.383140793090295
AOI-00,sentinel2,P1/P99,0.14177600562572473,0.7955897688865662,12809,6733,2025,129,129,0.010071043797330002,0.010071043797330002,0.020142087594660005,0.17767958111465612,0.15120460871788935,0.11466975570173642,-2.149447713791609,0.7533055241528567,12809,W2022,12809,0.07278598181395345,0.05976965863733369,-0.032090011155433425,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,0.10489359930070268,0.09143495008055566,2.4411236434073085
AOI-01,landsat,P1/P99,0.0321251228451728,0.080069787800312,9601,5000,2025,96,96,0.009998958441828977,0.009998958441828977,0.019997916883657953,0.49313818276448806,0.46216686804317736,0.46216686804317736,-94531.49577373685,0.4395210632237413,9601,W2023,9601,0.0012098680224037,0.0005576301745310038,0.0001593946556148428,0.4309900517005192,0.7134506875280094,0.09942325995912292,-0.005116697230375914,0.49192831474208437,0.4616092378686464,407.5966747056823
AOI-01,modis,P1/P99,0.041725676767527996,0.08494897656142701,19714,6626,2025,198,198,0.010043623820635082,0.010043623820635082,0.020087247641270164,0.43289715183737476,0.38678799011061427,0.38678799011061427,-62696.23843099648,0.45834408169926033,19714,W2022,19714,0.0014037569395782112,0.0005410276030743692,9.589164980583136e-05,0.34073079825644714,0.6654250687974319,0.08508450636869241,-0.00470543797800376,0.43149339489779653,0.38624696250753987,308.3846922726152
AOI-01,sentinel2,P1/P99,0.009292760714888488,0.05200004920363414,19409,6626,2025,195,195,0.010046885465505693,0.010046885465505693,0.020093770931011386,0.4513743049259327,0.4124638233320331,0.4124638233320331,-68384.67040668929,0.41962187836890613,19409,W2023,19409,0.0013354750127916484,0.0002968420766248868,-0.00021847304769869694,0.40136379818500034,0.8398846313982713,0.07800826035853067,-0.0025849262746615144,0.4500388299131411,0.4121669812554082,337.9878324959368
AOI-02,landsat,P1/P99,0.14779890805482862,0.801496506929398,1735,1555,2025,18,18,0.01037463976945245,0.01037463976945245,0.0207492795389049,0.20268854414767978,0.1801388346835951,0.17348405476745854,-0.5188762247639171,0.9378747095193773,1735,W2022_2023,1735,0.057445153399661025,0.044310577682450246,0.006946180346448518,0.8779969284805731,0.9379718196852981,0.9661132222807101,-0.07377765225632299,0.14524339074801876,0.13582825700114484,3.5283837217305756
AOI-02,modis,P2/P98,0.3765424525737762,0.7923528301715848,2190,1912,2025,44,44,0.02009132420091324,0.02009132420091324,0.04018264840182648,0.16678941900960237,0.13888025918920985,0.09440358919658173,-1.082850804128424,0.863477414412789,2190,W2022_2023,2190,0.05636664025045441,0.04272532062273195,0.009492283084740089,0.7621158703397992,0.8768581830923973,1.007312870016364,-0.09640237332830254,0.11042277875914797,0.09615493856647789,2.9590094117461216
AOI-02,sentinel2,P1/P99,0.07042734742164605,0.7968223857879638,12637,6334,2025,127,127,0.010049853604494738,0.010049853604494738,0.020099707208989476,0.1802534236470111,0.1557662292773983,0.1423711608745613,-0.13749402076321315,0.935448316651527,12637,W2022_2024,12637,0.05964482743403754,0.045684959310484365,-0.00017280201560009094,0.8754546117614118,0.9356596147899816,0.8651997216361405,0.026236812376418783,0.12060859621297357,0.11008126996691395,3.0221132561135686
AOI-03,landsat,P1/P99,0.08344182454049578,0.5816768437623974,9322,5411,2025,94,94,0.010083673031538296,0.010083673031538296,0.020167346063076592,0.2198108702917442,0.18505260387945402,0.18320454167051733,-3.9306720171435803,0.9307574163215129,9322,W2022,9322,0.03677964098060397,0.027741850141007246,0.0074635677135337685,0.861954340963434,0.9317552096621348,0.9030669043214218,-0.07915664210563281,0.18303122931114024,0.15731075373844677,5.976427839729681
AOI-03,modis,P1/P99,0.1050810389965772,0.5710952746868133,12562,5956,2025,126,126,0.010030249960197421,0.010030249960197421,0.020060499920394843,0.22415015616148093,0.1952300820096784,0.19462201006411334,-3.6083567533209004,0.955659044112301,12562,W2023,12562,0.03209852750178471,0.025388610729700122,0.009457299722509598,0.9054986047475684,0.9567268331912242,0.9841422918695247,-0.11173212323805953,0.19205162865969622,0.16984147127997828,6.983191242932185
AOI-03,sentinel2,P1/P99,0.03442216452211135,0.5417349183559419,10590,6251,2025,106,106,0.010009442870632672,0.010009442870632672,0.020018885741265344,0.20565903265284005,0.17562549418096632,0.17299738689000566,-3.610934562346829,0.9004491625921823,10590,W2024,10590,0.041776005341069254,0.028469251985136522,-0.0024264328666484826,0.8097401274802645,0.9009453347402078,0.847771577654368,-0.035038660591043075,0.1638830273117708,0.1471562421958298,4.922898467045634
