sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,landsat,2022,2025,W2022,20017,39,0.04922975883032955,0.04030136819227294,-0.001051825924206623,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.01125216357510872,13159,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,landsat,2023,2025,W2023,20017,39,0.050040270378964705,0.040883138443291736,-0.008832179468883867,0.7319248633892765,0.8607811944412886,0.8613305584425672,-0.0021525533660406992,12841,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,landsat,2024,2025,W2024,20017,39,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.025899763643027374,18920,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20017,39,0.04947106938086972,0.04052913757545651,-0.005075015756932243,0.7379888113696362,0.8607811944412872,0.8498933218618941,0.009042865278507839,26000,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20017,39,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.013459316849945502,31761,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20017,39,0.05143113995008685,0.04213824442732101,-0.014888396042622938,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.020725772215602234,44920,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,modis,2022,2025,W2022,18641,39,0.04285672367494595,0.03300495895994379,-0.009416441759335408,0.8074222535834166,0.9039491553791996,0.994945341615072,-0.12269039762166734,10732,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,modis,2023,2025,W2023,18641,39,0.04183470229949771,0.03296517441319166,-0.0005316982009135427,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,20043,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,modis,2024,2025,W2024,18641,39,0.044496397799204924,0.03424488112283048,-0.012799879131827913,0.7924045289014423,0.9039382033914615,0.879818584535097,-0.04778493581239729,16212,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,18641,39,0.04193122621142726,0.03274749915234318,-0.0037077234002190046,0.8156499362626483,0.9039382033914625,0.9693154995005443,-0.09955184818107021,30775,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,18641,39,0.042381498610372804,0.03304240663435672,-0.005590445242591954,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.07005945499690869,36255,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,18641,39,0.04238135992782645,0.032939932349886646,-0.006595752589322999,0.811670678049817,0.9039382033914619,0.9413932783163945,-0.08345240320736791,46987,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,12809,39,0.07278598181395345,0.05976965863733369,-0.032090011155433425,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,5928,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,12809,39,0.0764232508466077,0.06251825059911735,-0.03808188539220854,0.41734648019330245,0.7579801645602897,0.6734580700077741,0.1333545988857463,13486,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,12809,39,0.0798319825140218,0.06622923133254918,-0.04587876642690486,0.36421073857309305,0.7578994922621423,0.5747983935698915,0.18346413673472678,8101,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,12809,39,0.07480303603907396,0.06128456564920127,-0.03554559087989143,0.44178974682911387,0.7579687421506721,0.6499712055659811,0.1496767472984079,19414,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,12809,39,0.07707192522305065,0.06337048496127758,-0.04029724542171388,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,21587,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,12809,39,0.07592273171831543,0.06242630012712057,-0.03829059632556221,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,27515,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-01,landsat,2022,2025,W2022,9601,35,0.001242428429767229,0.0005031351925982338,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,0.08433016624625009,-0.004381901313713138,9709,34
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-01,landsat,2023,2025,W2023,9601,35,0.0012098680224037,0.0005576301745310038,0.0001593946556148428,0.4309900517005192,0.7134506875280094,0.09942325995912292,-0.005116697230375914,15205,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-01,landsat,2024,2025,W2024,9601,35,0.0012350993319251607,0.0005652125927523529,0.00014854235779041672,0.4070096353521019,0.7054465839794869,0.09032936401695758,-0.004595983524886811,10862,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,9601,35,0.0012197323830697296,0.0005359453060655543,0.00011944664619506003,0.42167366177145105,0.7160638775658889,0.09368817380066649,-0.004839204309057775,24912,34
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,9601,35,0.0012197222847369214,0.0005606587153263471,0.0001550806834690873,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.004907984590122798,26067,35
