AOI,sensor,primary_history_x,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,primary_pair_n,matched_pair_n,delta_NDVI_mean,delta_NDVI_abs_mean,delta_NDVI_abs_max,target_identity_retention,primary_history_y,primary_preferred_RMSE,sensitivity_history,sensitivity_preferred_RMSE,history_changed,rolling_origin_direction_changed
AOI-00,landsat,W2022,W2022,20017,0.0492297588303295,0.0403013681922729,-0.0010518259242066,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.0112521635751087,20017,0.0483395493552052,0.0395094812127918,0.0005330646535083,0.7498373691689126,0.8659744745625948,0.8713410249267025,-0.0016816916460203,20017,0.0492297588303295,0.0403013681922729,-0.0010518259242066,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.0112521635751087,20017,0.0483395493552052,0.0395094812127918,0.0005330646535083,0.7498373691689126,0.8659744745625948,0.8713410249267025,-0.0016816916460203,-0.000890209475124297,-0.000890209475124297,-0.0007918869794811059,-0.0007918869794811059,0.0015848905777149,0.0015848905777149,77616,77616,0.0023121261953657876,0.004543282341486958,0.12011450529098516,1.0,W2022,0.0492297588303295,W2022,0.0483395493552052,False,False
AOI-00,modis,W2023,W2023,18641,0.0418347022994977,0.0329651744131916,-0.0005316982009135,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,18641,0.0415519943174781,0.0327206364648191,-0.0001939893620669,0.8189694327689553,0.905298665099788,0.9649530652693524,-0.0936727499520913,18641,0.0418347022994977,0.0329651744131916,-0.0005316982009135,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,18641,0.0415519943174781,0.0327206364648191,-0.0001939893620669,0.8189694327689553,0.905298665099788,0.9649530652693524,-0.0936727499520913,-0.0002827079820195977,-0.0002827079820195977,-0.0002445379483725016,-0.0002445379483725016,0.00033770883884659997,0.00033770883884659997,77439,77439,0.0005298809766931816,0.001549733859561695,0.1536165326833725,1.0,W2023,0.0418347022994977,W2023,0.0415519943174781,False,False
AOI-00,sentinel2,W2022,W2022,12809,0.0727859818139534,0.0597696586373336,-0.0320900111554334,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,12809,0.0730029022817301,0.0595765056602953,-0.0311480587258915,0.4683331142267425,0.7520066451494012,0.6089919943801444,0.1762933043296056,12809,0.0727859818139534,0.0597696586373336,-0.0320900111554334,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,12809,0.0730029022817301,0.0595765056602953,-0.0311480587258915,0.4683331142267425,0.7520066451494012,0.6089919943801444,0.1762933043296056,0.0002169204677767017,0.0002169204677767017,-0.00019315297703829948,-0.00019315297703829948,0.000941952429541898,0.000941952429541898,52692,52692,0.002805761228354872,0.0068287567708807465,0.5893128961324691,1.0,W2022,0.0727859818139534,W2022,0.0730029022817301,False,False
AOI-01,landsat,W2023,W2023,9601,0.0012098680224037,0.000557630174531,0.0001593946556148,0.4309900517005192,0.7134506875280094,0.0994232599591229,-0.0051166972303759,9601,0.0012321844502724,0.0005608791697014,0.0001500790276851,0.4098052923981908,0.7029655932459508,0.0976640385547314,-0.0050289678751958,9601,0.0012098680224037,0.000557630174531,0.0001593946556148,0.4309900517005192,0.7134506875280094,0.0994232599591229,-0.0051166972303759,9601,0.0012321844502724,0.0005608791697014,0.0001500790276851,0.4098052923981908,0.7029655932459508,0.0976640385547314,-0.0050289678751958,2.2316427868699978e-05,2.2316427868699978e-05,3.2489951703999374e-06,3.2489951703999374e-06,-9.315627929700019e-06,-9.315627929700019e-06,56525,56525,9.32896858728073e-05,0.00025190976300418016,0.03363735973834989,1.0,W2023,0.0012098680224037,W2023,0.0012321844502724,False,False
AOI-01,modis,W2022,W2022,19714,0.0014037569395782,0.0005410276030743,9.589164980583136e-05,0.3407307982564471,0.6654250687974319,0.0850845063686924,-0.0047054379780037,19714,0.0014118911251304,0.0005415058366252,9.244002009370848e-05,0.3330682821459058,0.6593666731021088,0.0841130514377709,-0.004652172416618,19714,0.0014037569395782,0.0005410276030743,9.589164980583136e-05,0.3407307982564471,0.6654250687974319,0.0850845063686924,-0.0047054379780037,19714,0.0014118911251304,0.0005415058366252,9.244002009370848e-05,0.3330682821459058,0.6593666731021088,0.0841130514377709,-0.004652172416618,8.134185552200043e-06,8.134185552200043e-06,4.782335508999105e-07,4.782335508999105e-07,-3.4516297121228777e-06,-3.4516297121228777e-06,97310,97310,6.463863678687219e-05,0.00011373379328291197,0.1768166869878769,1.0,W2022,0.0014037569395782,W2023,0.0013973866886078,True,True
AOI-01,sentinel2,W2023,W2023,19409,0.0013354750127916,0.0002968420766248,-0.0002184730476986,0.4013637981850003,0.8398846313982713,0.0780082603585306,-0.0025849262746615,19409,0.0013988502054349,0.0003033292286173,-0.0002294988832999,0.3431989091540668,0.8338967730611416,0.0764196710623058,-0.0025226223923841,19409,0.0013354750127916,0.0002968420766248,-0.0002184730476986,0.4013637981850003,0.8398846313982713,0.0780082603585306,-0.0025849262746615,19409,0.0013988502054349,0.0003033292286173,-0.0002294988832999,0.3431989091540668,0.8338967730611416,0.0764196710623058,-0.0025226223923841,6.337519264330003e-05,6.337519264330003e-05,6.487151992500028e-06,6.487151992500028e-06,-1.1025835601300024e-05,-1.1025835601300024e-05,87051,87051,-9.11071168552487e-05,0.0002667860404594148,0.19488676637411118,1.0,W2023,0.0013354750127916,W2023,0.0013988502054349,False,True
AOI-02,landsat,W2022_2023,W2022_2023,1735,0.057445153399661,0.0443105776824502,0.0069461803464485,0.8779969284805731,0.937971819685298,0.96611322228071,-0.0737776522563229,1735,0.0581284603203669,0.0448269972753731,0.0072829968876814,0.8750772267332686,0.936505405621934,0.9605313451620858,-0.0708676781743201,1735,0.057445153399661,0.0443105776824502,0.0069461803464485,0.8779969284805731,0.937971819685298,0.96611322228071,-0.0737776522563229,1735,0.0581284603203669,0.0448269972753731,0.0072829968876814,0.8750772267332686,0.936505405621934,0.9605313451620858,-0.0708676781743201,0.000683306920705902,0.000683306920705902,0.0005164195929229023,0.0005164195929229023,0.00033681654123289984,0.00033681654123289984,8711,8711,-3.440619873242375e-05,0.004720906273168615,0.11079561710357666,1.0,W2022_2023,0.057445153399661,W2022_2023,0.0581284603203669,False,False
AOI-02,modis,W2022_2023,W2022_2023,2190,0.0563666402504544,0.0427253206227319,0.00949228308474,0.7621158703397992,0.8768581830923973,1.007312870016364,-0.0964023733283025,2190,0.0563141233486192,0.0425842124703353,0.0090939202245922,0.7625589379976785,0.8767923183136634,1.004756754936888,-0.094497527200456,2190,0.0563666402504544,0.0427253206227319,0.00949228308474,0.7621158703397992,0.8768581830923973,1.007312870016364,-0.0964023733283025,2190,0.0563141233486192,0.0425842124703353,0.0090939202245922,0.7625589379976785,0.8767923183136634,1.004756754936888,-0.094497527200456,-5.251690183520619e-05,-5.251690183520619e-05,-0.00014110815239659624,-0.00014110815239659624,-0.00039836286014780127,-0.00039836286014780127,28222,28222,-0.00022821490337446363,0.0016062407405288913,0.0763800740242005,1.0,W2022_2023,0.0563666402504544,W2022_2023,0.0563141233486192,False,False
AOI-02,sentinel2,W2022_2024,W2022_2024,12637,0.0596448274340375,0.0456849593104843,-0.0001728020156,0.8754546117614118,0.9356596147899816,0.8651997216361405,0.0262368123764187,12637,0.0599636164571913,0.0461555971825447,-5.9461471335017354e-05,0.8741197162364852,0.934944838571032,0.851710044847485,0.034610007706349,12637,0.0596448274340375,0.0456849593104843,-0.0001728020156,0.8754546117614118,0.9356596147899816,0.8651997216361405,0.0262368123764187,12637,0.0599636164571913,0.0461555971825447,-5.9461471335017354e-05,0.8741197162364852,0.934944838571032,0.851710044847485,0.034610007706349,0.00031878902315380514,0.00031878902315380514,0.00047063787206039903,0.00047063787206039903,0.00011334054426498265,0.00011334054426498265,52781,52781,-0.0014646159036764046,0.006680911235908314,0.17691069841384888,1.0,W2022_2024,0.0596448274340375,W2022_2024,0.0599636164571913,False,False
AOI-03,landsat,W2022,W2022,9322,0.0367796409806039,0.0277418501410072,0.0074635677135337,0.861954340963434,0.9317552096621348,0.9030669043214218,-0.0791566421056328,9322,0.0359944028237708,0.02701250498378,0.0075201995993244,0.8677859135538916,0.9349801922019104,0.8995146276776018,-0.0788083800887696,9322,0.0367796409806039,0.0277418501410072,0.0074635677135337,0.861954340963434,0.9317552096621348,0.9030669043214218,-0.0791566421056328,9322,0.0359944028237708,0.02701250498378,0.0075201995993244,0.8677859135538916,0.9349801922019104,0.8995146276776018,-0.0788083800887696,-0.0007852381568330957,-0.0007852381568330957,-0.0007293451572271993,-0.0007293451572271993,5.663188579070003e-05,5.663188579070003e-05,39011,39011,0.0005991774009590951,0.003055389235695953,0.06144601106643677,1.0,W2022,0.0367796409806039,W2022,0.0359944028237708,False,False
