AOI,sensor,primary_history,primary_preferred_RMSE,sensitivity_history,sensitivity_preferred_RMSE,history_changed,rolling_origin_direction_changed
AOI-00,landsat,W2022,0.0492297588303295,W2022,0.0483395493552052,False,False
AOI-00,modis,W2023,0.0418347022994977,W2023,0.0415519943174781,False,False
AOI-00,sentinel2,W2022,0.0727859818139534,W2022,0.0730029022817301,False,False
AOI-01,landsat,W2023,0.0012098680224037,W2023,0.0012321844502724,False,False
AOI-01,modis,W2022,0.0014037569395782,W2023,0.0013973866886078,True,True
AOI-01,sentinel2,W2023,0.0013354750127916,W2023,0.0013988502054349,False,True
AOI-02,landsat,W2022_2023,0.057445153399661,W2022_2023,0.0581284603203669,False,False
AOI-02,modis,W2022_2023,0.0563666402504544,W2022_2023,0.0563141233486192,False,False
AOI-02,sentinel2,W2022_2024,0.0596448274340375,W2022_2024,0.0599636164571913,False,False
AOI-03,landsat,W2022,0.0367796409806039,W2022,0.0359944028237708,False,False
AOI-03,modis,W2023,0.0320985275017847,W2023,0.0318496922842868,False,False
AOI-03,sentinel2,W2024,0.0417760053410692,W2024,0.0417709914549581,False,False
