AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched
AOI-00,landsat,W2022,20017,0.0492297588303295,0.0403013681922729,-0.0010518259242066,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.0112521635751087,20017,0.0483395493552052,0.0395094812127918,0.0005330646535083,0.7498373691689126,0.8659744745625948,0.8713410249267025,-0.0016816916460203,20017,0.0492297588303295,0.0403013681922729,-0.0010518259242066,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.0112521635751087,20017,0.0483395493552052,0.0395094812127918,0.0005330646535083,0.7498373691689126,0.8659744745625948,0.8713410249267025,-0.0016816916460203,-0.000890209475124297,-0.000890209475124297,-0.0007918869794811059,-0.0007918869794811059,0.0015848905777149,0.0015848905777149
AOI-00,landsat,W2023,20017,0.0500402703789647,0.0408831384432917,-0.0088321794688838,0.7319248633892765,0.8607811944412886,0.8613305584425672,-0.0021525533660406,20017,0.0490851848805274,0.0399886125356561,-0.0082863221288579,0.742060351923216,0.865974474562595,0.8870575029781231,-0.0207653571405547,20017,0.0500402703789647,0.0408831384432917,-0.0088321794688838,0.7319248633892765,0.8607811944412886,0.8613305584425672,-0.0021525533660406,20017,0.0490851848805274,0.0399886125356561,-0.0082863221288579,0.742060351923216,0.865974474562595,0.8870575029781231,-0.0207653571405547,-0.0009550854984372997,-0.0009550854984372997,-0.0008945259076355988,-0.0008945259076355988,0.0005458573400259001,0.0005458573400259001
AOI-00,landsat,W2024,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,0.0552680226820127,0.0448032193106771,-0.0262180887550503,0.6729869418720409,0.8659744745625939,0.8070537988421351,0.0135525160425603,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,0.0552680226820127,0.0448032193106771,-0.0262180887550503,0.6729869418720409,0.8659744745625939,0.8070537988421351,0.0135525160425603,-0.0011740709688180945,-0.0011740709688180945,-0.0010680777311177989,-0.0010680777311177989,0.001069627737080199,0.001069627737080199
AOI-00,landsat,W2022_2023,20017,0.0494710693808697,0.0405291375754565,-0.0050750157569322,0.7379888113696362,0.8607811944412872,0.8498933218618941,0.0090428652785078,20017,0.0485006687964922,0.0396572347812921,-0.003998013287382,0.7481669673775977,0.8659744745625939,0.8705058519028057,-0.0056673262209026,20017,0.0494710693808697,0.0405291375754565,-0.0050750157569322,0.7379888113696362,0.8607811944412872,0.8498933218618941,0.0090428652785078,20017,0.0485006687964922,0.0396572347812921,-0.003998013287382,0.7481669673775977,0.8659744745625939,0.8705058519028057,-0.0056673262209026,-0.000970400584377501,-0.000970400584377501,-0.0008719027941644017,-0.0008719027941644017,0.0010770024695501996,0.0010770024695501996
AOI-00,landsat,W2023_2024,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,0.0519318909106576,0.0422324779746601,-0.0188645671788984,0.7112742534208711,0.8659744745625946,0.8415396826540974,-0.0016163571521333,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,0.0519318909106576,0.0422324779746601,-0.0188645671788984,0.7112742534208711,0.8659744745625946,0.8415396826540974,-0.0016163571521333,-0.0010991910110529982,-0.0010991910110529982,-0.0010167873478771974,-0.0010167873478771974,0.000885896974708901,0.000885896974708901
AOI-00,landsat,W2022_2024,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,0.0503468620280181,0.0411569508202737,-0.0138235032736904,0.7286298619340335,0.8659744745625945,0.8360469598697554,0.0070119504957696,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,0.0503468620280181,0.0411569508202737,-0.0138235032736904,0.7286298619340335,0.8659744745625945,0.8360469598697554,0.0070119504957696,-0.0010842779220687007,-0.0010842779220687007,-0.0009812936070473025,-0.0009812936070473025,0.0010648927689325006,0.0010648927689325006
AOI-00,modis,W2022,18641,0.0428567236749459,0.0330049589599437,-0.0094164417593354,0.8074222535834166,0.9039491553791996,0.994945341615072,-0.1226903976216673,18641,0.0424042522211124,0.0327595155717025,-0.0086422255630989,0.8114671709206669,0.905318367145712,1.0108478736866655,-0.1333607111830643,18641,0.0428567236749459,0.0330049589599437,-0.0094164417593354,0.8074222535834166,0.9039491553791996,0.994945341615072,-0.1226903976216673,18641,0.0424042522211124,0.0327595155717025,-0.0086422255630989,0.8114671709206669,0.905318367145712,1.0108478736866655,-0.1333607111830643,-0.0004524714538334945,-0.0004524714538334945,-0.00024544338824120104,-0.00024544338824120104,0.0007742161962364987,0.0007742161962364987
AOI-00,modis,W2023,18641,0.0418347022994977,0.0329651744131916,-0.0005316982009135,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,18641,0.0415519943174781,0.0327206364648191,-0.0001939893620669,0.8189694327689553,0.905298665099788,0.9649530652693524,-0.0936727499520913,18641,0.0418347022994977,0.0329651744131916,-0.0005316982009135,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,18641,0.0415519943174781,0.0327206364648191,-0.0001939893620669,0.8189694327689553,0.905298665099788,0.9649530652693524,-0.0936727499520913,-0.0002827079820195977,-0.0002827079820195977,-0.0002445379483725016,-0.0002445379483725016,0.00033770883884659997,0.00033770883884659997
AOI-00,modis,W2024,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,0.0440742069312869,0.0339328519704269,-0.0121591781051345,0.7963252559742667,0.9052986650997884,0.8952527812765313,-0.0581974155692724,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,0.0440742069312869,0.0339328519704269,-0.0121591781051345,0.7963252559742667,0.9052986650997884,0.8952527812765313,-0.0581974155692724,-0.00042219086791799726,-0.00042219086791799726,-0.00031202915240350487,-0.00031202915240350487,0.0006407010266933997,0.0006407010266933997
AOI-00,modis,W2022_2023,18641,0.0419312262114272,0.0327474991523431,-0.003707723400219,0.8156499362626483,0.9039382033914624,0.9693154995005444,-0.0995518481810702,18641,0.0416101732225476,0.0325210583011522,-0.0032102711006585,0.8184621390206966,0.9052986650997896,0.986361150864076,-0.1112601456310801,18641,0.0419312262114272,0.0327474991523431,-0.003707723400219,0.8156499362626483,0.9039382033914624,0.9693154995005444,-0.0995518481810702,18641,0.0416101732225476,0.0325210583011522,-0.0032102711006585,0.8184621390206966,0.9052986650997896,0.986361150864076,-0.1112601456310801,-0.0003210529888795985,-0.0003210529888795985,-0.00022644085119090385,-0.00022644085119090385,0.0004974522995604999,0.0004974522995604999
AOI-00,modis,W2023_2024,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,0.0420503958144471,0.032780085062052,-0.0051056056681914,0.8146005921810124,0.9052986650997878,0.9398629021783116,-0.0815070977857462,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,0.0420503958144471,0.032780085062052,-0.0051056056681914,0.8146005921810124,0.9052986650997878,0.9398629021783116,-0.0815070977857462,-0.00033110279592570013,-0.00033110279592570013,-0.00026232157230469955,-0.00026232157230469955,0.0004848395744005002,0.0004848395744005002
AOI-00,modis,W2022_2024,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,0.0420286000188865,0.0326838169005891,-0.0060424308406088,0.8147927368804182,0.9052986650997884,0.9579429954111988,-0.0947498854592819,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,0.0420286000188865,0.0326838169005891,-0.0060424308406088,0.8147927368804182,0.9052986650997884,0.9579429954111988,-0.0947498854592819,-0.00035275990893989667,-0.00035275990893989667,-0.00025611544929749624,-0.00025611544929749624,0.0005533217487141001,0.0005533217487141001
AOI-00,sentinel2,W2022,12809,0.0727859818139534,0.0597696586373336,-0.0320900111554334,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,12809,0.0730029022817301,0.0595765056602953,-0.0311480587258915,0.4683331142267425,0.7520066451494012,0.6089919943801444,0.1762933043296056,12809,0.0727859818139534,0.0597696586373336,-0.0320900111554334,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,12809,0.0730029022817301,0.0595765056602953,-0.0311480587258915,0.4683331142267425,0.7520066451494012,0.6089919943801444,0.1762933043296056,0.0002169204677767017,0.0002169204677767017,-0.00019315297703829948,-0.00019315297703829948,0.000941952429541898,0.000941952429541898
AOI-00,sentinel2,W2023,12809,0.0764232508466077,0.0625182505991173,-0.0380818853922085,0.4173464801933024,0.7579801645602897,0.6734580700077741,0.1333545988857463,12809,0.0787321024293522,0.0637994557434919,-0.0403003641924099,0.3816091470695292,0.7520280618580898,0.7106135662882743,0.1071937258131865,12809,0.0764232508466077,0.0625182505991173,-0.0380818853922085,0.4173464801933024,0.7579801645602897,0.6734580700077741,0.1333545988857463,12809,0.0787321024293522,0.0637994557434919,-0.0403003641924099,0.3816091470695292,0.7520280618580898,0.7106135662882743,0.1071937258131865,0.002308851582744506,0.002308851582744506,0.001281205144374603,0.001281205144374603,-0.002218478800201401,-0.002218478800201401
