sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,8620,2159,23,8,0.06088369868527293,0.0500126400044278,-0.0400668280642043,0.6360617095596939,0.8912164584445827,2159
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,8622,2157,24,7,0.0634088026766731,0.05379586224973392,0.021972242770610783,0.5690354281073213,0.787899125964649,2157
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,8611,2168,26,5,0.06427342248728973,0.05499750589121971,0.03287667924257024,0.5122999857649253,0.8028247766042642,2168
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,8629,2150,25,6,0.052890903324369694,0.04402228211269705,-0.007683552260961855,0.6349740198389606,0.8041013515189692,2150
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,8634,2145,26,5,0.05118051685301748,0.04029095479145221,-0.006226848322481129,0.6504690761212677,0.820698923663005,2145
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,8468,2136,25,6,0.046152262109324306,0.037759334622160225,-0.005744840409459305,0.8403252800360557,0.9223795410301586,2136
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,8484,2120,25,6,0.046066779300641514,0.038595391133904575,0.023467601071905292,0.4111182151320145,0.7657253451906992,2120
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,8493,2111,26,5,0.04972130658020516,0.04031320817033505,0.013367154831197483,0.6744673092150646,0.8359275585651059,2111
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,8482,2122,24,7,0.055181064446933825,0.04474012772443758,-0.017252720391911704,0.8221105975449589,0.9184842040741045,2122
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,8489,2115,24,7,0.03955541334769509,0.031396394858120964,-0.012169769314048702,0.7614754140797136,0.8877817169572785,2115
