sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,10604,10779,0.057127343803329525,0.04705741414307388,-0.007934955518774007,0.6622056803627347,0.8177936882142337,10779.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,10779,10604,0.04710845092581367,0.03793573135254371,0.007650220590921061,0.7743121457544015,0.8833668770657986,10604.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,15582,10604,0.049968679473716165,0.040467104577096354,-0.016556717747242624,0.7460745180797793,0.8833668770657982,10604.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,10604,15582,0.05389429450461588,0.04328855901735981,0.016385862275767958,0.6596220524233902,0.835457595494209,15582.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,26186,10779,0.05894759697710876,0.048820563128113365,-0.016229120266351187,0.6403363972519913,0.8177936882142345,10779.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,26361,10604,0.04759932402537152,0.038577350876094825,-0.007498035192542611,0.769584277056698,0.8833668770657966,10604.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,21383,15582,0.05504752600901318,0.04431528958808466,0.020226093007373713,0.6448993694882139,0.8354575954942073,15582.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,modis,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,modis,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,modis,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2022,16560,9051,0.04986083118336947,0.039653691759445935,0.011758377677959184,0.769429435064003,0.885324265249133,9051.0
phase1_aggregation_order,canonical_primary,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2023,9051,16560,0.0398844849582097,0.029868202251001317,-0.01091703569192535,0.8343894107806731,0.9211773517708779,16560.0
