sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,block_id,block_rmse,block_mae,block_bias,block_n
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_1,0.04940732702639496,0.04111253795381896,0.02251379972207929,45
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_2,0.047683269713974824,0.03745029213941188,-0.015590261724215848,142
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_3,0.040301517954100544,0.030195095610100278,-0.01171117008004089,148
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_4,0.03495061621753759,0.02646658197062989,0.0038795620003031816,57
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_1,0.060617695769968824,0.04932569017093388,0.02332431184225176,351
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_2,0.046640720460669916,0.038873038410925105,0.01985157466022387,828
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_3,0.04242890315660348,0.03373875296346622,0.0006392331573935099,823
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_4,0.041455658202417194,0.03194435167779235,-0.00037676650675907427,815
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_5,0.03974684007464497,0.03271545570592887,0.010622107900259622,12
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_1,0.054688732059983425,0.04460149318311337,0.02467264784191799,411
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_2,0.051803021592229145,0.042619797633940346,0.025706336467065976,807
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_3,0.03393277505569424,0.025912636052402467,0.0026037292126933555,846
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_4,0.0447952341219689,0.03255568477185321,-0.016795778932989388,844
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_5,0.04626540869643901,0.03627388949813601,-0.029444953932199914,203
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_0,0.0535270961543978,0.04135410929332378,0.015227454349295557,38
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_1,0.0646182614155901,0.0596936446371881,0.057910611321689204,601
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_2,0.06524730147295535,0.057341118290005766,0.04747264323221961,855
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_3,0.03915153408613515,0.030287340745965865,-0.0016467553426229005,855
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_4,0.04451151992998416,0.03480525035676164,-0.023883858160043084,796
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_5,0.06055033814045399,0.0470720645755996,-0.029282560614323837,182
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_4_0,0.052242314636248635,0.045582034472023004,0.033254927007328974,75
phase1_aggregation_order,canonical_primary,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_4_1,0.06698103065849242,0.0619656024345228,0.06005755109486728,892
