sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,8620,2159,23,8,0.06114523779561291,0.05004954076339437,-0.039235175048073355,0.6329282422865605,0.8857924624953036,2159
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,8622,2157,24,7,0.06282331141630461,0.0530901622133057,0.021068056477569656,0.5769573897799719,0.790344159962395,2157
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,8611,2168,26,5,0.06285692502587262,0.053909766911744934,0.03200500391524708,0.5335595789855587,0.8131124482902868,2168
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,8629,2150,25,6,0.05318003240899994,0.04424843644915529,-0.007313896827411256,0.630972269518778,0.8015109867575387,2150
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,8634,2145,26,5,0.05110144065154223,0.04004718987935255,-0.005584103793862054,0.6515483237436441,0.8206350302953099,2145
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,8468,2136,25,6,0.046042768542898425,0.0371713497001102,-0.005598183488516913,0.8410820193435655,0.9225506846842749,2136
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,8484,2120,25,6,0.04541450445718273,0.0380718993821404,0.023280723256232712,0.42767649811145336,0.7735363704207776,2120
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,8493,2111,26,5,0.04866164397785356,0.03932191775990575,0.011313050251420943,0.6881949843650234,0.8407658710992449,2111
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,8482,2122,24,7,0.05433794531492044,0.04384250546031848,-0.016018198848543285,0.8275050625672373,0.9202304372002497,2122
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,8489,2115,24,7,0.03911508478645619,0.030968514453423808,-0.011346042091418818,0.7667563397226885,0.8888004206366078,2115
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,12444,3138,25,6,0.049769178502943205,0.038763689007246915,-0.005948296521057618,0.6874228078768629,0.83193224466368,3138
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,12475,3107,24,7,0.052868687676957564,0.043507803944343545,0.014790683118452804,0.6324803987814114,0.8140040366513612,3107
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,12470,3112,25,6,0.049554939954638826,0.03976441371215658,0.01609109058420129,0.6398910602425292,0.8279415580468327,3112
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,12480,3102,26,5,0.056772983388991505,0.04651629580093992,-0.021895277389742455,0.6071262042508958,0.8159739233841291,3102
phase1_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,12459,3123,24,7,0.04947742359760683,0.03868274811899235,-0.0030664868894810416,0.7728035327691581,0.8796351291860774,3123
