sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,slope,intercept,train_n,train_block_n
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,0.8870575029781231,-0.02076535714055472,12841,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,0.8705058519028057,-0.005667326220902602,26000,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,0.8349007500375728,0.01361700003366384,38679,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,0.8070537988421351,0.013552516042560359,18920,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,0.8415396826540974,-0.0016163571521333742,31761,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,0.8360469598697554,0.007011950495769637,44920,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,0.9649530652693524,-0.0936727499520913,20043,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,0.986361150864076,-0.11126014563108011,30775,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,0.9745594246817103,-0.1022745947365089,42586,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,0.8952527812765313,-0.05819741556927249,16212,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,0.9398629021783117,-0.08150709778574627,36255,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023;2024,2025,R2025-H3,3,0.9579429954111987,-0.09474988545928198,46987,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023,2024,R2024-H1,1,0.7106135662882743,0.10719372581318654,13486,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023,2024,R2024-H2,2,0.6767744154563294,0.13098420627401464,19414,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,R2024-H3,3,0.613895348956057,0.18322138556743744,31782,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2024,2025,R2025-H1,1,0.5894438297543644,0.17320970110429068,8101,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023;2024,2025,R2025-H2,2,0.6692489235282891,0.13048900044251538,21587,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023;2024,2025,R2025-H3,3,0.6537959308109776,0.14216569159664494,27515,39
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,0.09766403855473148,-0.005028967875195896,15205,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,0.09203752630568493,-0.004760813103079967,24912,34
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,0.0895291095608793,-0.004697110750825134,36059,34
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,0.08922044482933089,-0.004542100468935509,10862,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,0.09427310148506661,-0.004833178228720847,26067,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,0.09117998388103937,-0.0046943438066780665,35773,34
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2023,2024,R2024-H1,1,0.08785972865502209,-0.00495836726280192,19735,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2022;2023,2024,R2024-H2,2,0.08560007123869384,-0.0047814266511862335,39544,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2021;2022;2023,2024,R2024-H3,3,0.08443075060425642,-0.004786125126095159,57820,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2024,2025,R2025-H1,1,0.06648543005758677,-0.0037040321884563997,19776,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2023;2024,2025,R2025-H2,2,0.0771793117882816,-0.004331080121572351,39511,35
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2022;2023;2024,2025,R2025-H3,3,0.07890070740366159,-0.004406187323734002,59320,35
