sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,18920,39,0.05425311211985063,0.043673715348629905,0.016192246337405344,0.6553336607010811,0.832372478506768,18920,0.8870575029781231,-0.02076535714055472,12841,39,2.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,18920,39,0.05562342734749315,0.04493326823915577,0.02084043767644029,0.6377027389871144,0.832372478506769,18920,0.8705058519028057,-0.005667326220902602,26000,39,3.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,18920,39,0.05423540010976519,0.043685813916701004,0.017645580371001588,0.6555586703616616,0.8323724785067677,18920,0.8349007500375728,0.01361700003366384,38679,39,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20017,39,0.055268022682012745,0.044803219310677135,-0.02621808875505032,0.6729869418720409,0.8659744745625939,20017,0.8070537988421351,0.013552516042560359,18920,39,3.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20017,39,0.05193189091065767,0.04223247797466018,-0.018864567178898436,0.7112742534208711,0.8659744745625946,20017,0.8415396826540974,-0.0016163571521333742,31761,39,2.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20017,39,0.05034686202801812,0.04115695082027378,-0.013823503273690425,0.7286298619340335,0.8659744745625945,20017,0.8360469598697554,0.007011950495769637,44920,39,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,16212,39,0.046758172112898844,0.0376370514860212,0.009377825654950076,0.7375490620577638,0.8675474508582388,16212,0.9649530652693524,-0.0936727499520913,20043,39,3.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,16212,39,0.046431000626043835,0.03708907705875657,0.0055688643206949825,0.7412090022016912,0.867555294044724,16212,0.986361150864076,-0.11126014563108011,30775,39,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,16212,39,0.046451870096421204,0.03721100374855101,0.0069588506215405785,0.7409763109069576,0.8675520060537866,16212,0.9745594246817103,-0.1022745947365089,42586,39,2.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,18641,39,0.044074206931286955,0.03393285197042693,-0.012159178105134543,0.7963252559742667,0.9052986650997884,18641,0.8952527812765313,-0.05819741556927249,16212,39,3.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,18641,39,0.04205039581444718,0.03278008506205204,-0.005105605668191472,0.8146005921810124,0.9052986650997878,18641,0.9398629021783117,-0.08150709778574627,36255,39,2.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023;2024,2025,R2025-H3,3,18641,39,0.04202860001888654,0.0326838169005891,-0.006042430840608832,0.8147927368804182,0.9052986650997883,18641,0.9579429954111987,-0.09474988545928198,46987,39,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023,2024,R2024-H1,1,8101,39,0.06412587626448145,0.05031420486294757,0.003974695200044048,0.5240698889908267,0.7410141728332665,8101,0.7106135662882743,0.10719372581318654,13486,39,2.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023,2024,R2024-H2,2,8101,39,0.06377724193885585,0.05037074644187951,0.008218835763400276,0.5292308173908662,0.7410141728332648,8101,0.6767744154563294,0.13098420627401464,19414,39,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,R2024-H3,3,8101,39,0.06698157771478308,0.053382677639612575,0.02413549352973421,0.4807370899311184,0.7410141728332653,8101,0.613895348956057,0.18322138556743744,31782,39,3.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2024,2025,R2025-H1,1,12809,39,0.08030968688238785,0.06623439530458713,-0.04576151632466323,0.35657900986769253,0.7520066451494011,12809,0.5894438297543644,0.17320970110429068,8101,39,3.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023;2024,2025,R2025-H2,2,12809,39,0.07849779702560512,0.0640145246323639,-0.04140782923819625,0.38528431172186384,0.7520214652206122,12809,0.6692489235282891,0.13048900044251538,21587,39,2.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023;2024,2025,R2025-H3,3,12809,39,0.07695990179137285,0.06279452187357466,-0.03884726863376423,0.40913485879714817,0.7520167756040603,12809,0.6537959308109776,0.14216569159664494,27515,39,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,10862,35,0.0012274038391578794,0.0004701917639059625,0.00017688645126063234,0.3603112229519174,0.6603353239540137,10862,0.09766403855473148,-0.005028967875195896,15205,35,1.0
phase1_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,10862,35,0.0012333822402864328,0.0004454556559586894,0.0001408061319663321,0.3540644936109105,0.6646762638334444,10862,0.09203752630568493,-0.004760813103079967,24912,34,3.0
