sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
phase1_aggregation_order,reflectance_first_matched,AOI-00,landsat,2024,1y_vs_2y,1,2,39,-0.0008495016925809223,-2.232302544878072,0.031566437159560354,0.06313287431912071,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,landsat,2024,1y_vs_3y,1,3,39,0.0003034514443037978,1.0468903937672005,0.30176370042794287,0.30176370042794287,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,landsat,2024,2y_vs_3y,2,3,39,0.00115295313688472,4.19242438637812,0.00015889490029937848,0.00047668470089813543,True
phase1_aggregation_order,reflectance_first_matched,AOI-00,landsat,2025,1y_vs_2y,1,2,39,0.002035386845127739,2.907639800963997,0.006049451611931893,0.01814835483579568,True
phase1_aggregation_order,reflectance_first_matched,AOI-00,landsat,2025,1y_vs_3y,1,3,39,0.0031085453851108745,2.743684649067177,0.009220539908981662,0.018441079817963325,True
phase1_aggregation_order,reflectance_first_matched,AOI-00,landsat,2025,2y_vs_3y,2,3,39,0.0010731585399831364,2.4204251352989754,0.02039064054475344,0.02039064054475344,True
phase1_aggregation_order,reflectance_first_matched,AOI-00,modis,2024,1y_vs_2y,1,2,39,9.701879640053233e-05,0.28625960508200204,0.7762341869838679,1.0,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,modis,2024,1y_vs_3y,1,3,39,0.00016211628662276796,0.7575837400031954,0.45337273713109805,1.0,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,modis,2024,2y_vs_3y,2,3,39,6.509749022223565e-05,0.5139672441142773,0.610250945749307,1.0,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,modis,2025,1y_vs_2y,1,2,39,0.0011521789549147057,1.848527556293666,0.07231869863103954,0.2143458583652616,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,modis,2025,1y_vs_3y,1,3,39,0.001126227254569212,1.8544421594527118,0.0714486194550872,0.2143458583652616,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,modis,2025,2y_vs_3y,2,3,39,-2.5951700345493956e-05,-0.2944862375659535,0.7699891636730025,0.7699891636730025,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,sentinel2,2024,1y_vs_2y,1,2,39,0.0002998014568985932,0.624360194111127,0.5361218918889074,0.5361218918889074,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,sentinel2,2024,1y_vs_3y,1,3,39,-0.002224287558299407,-1.1463501757344017,0.2588177883026065,0.517635576605213,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,sentinel2,2024,2y_vs_3y,2,3,39,-0.0025240890151979997,-1.7083467877372396,0.09572977978919324,0.28718933936757973,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,sentinel2,2025,1y_vs_2y,1,2,39,9.845633806023415e-05,0.13172425840844798,0.8958973752064745,0.8958973752064745,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,sentinel2,2025,1y_vs_3y,1,3,39,0.001428338690109453,1.740409837154231,0.0898805672171885,0.179761134434377,False
phase1_aggregation_order,reflectance_first_matched,AOI-00,sentinel2,2025,2y_vs_3y,2,3,39,0.0013298823520492189,7.587839460120948,3.9963202411685965e-09,1.198896072350579e-08,True
phase1_aggregation_order,reflectance_first_matched,AOI-01,landsat,2024,1y_vs_2y,1,2,35,7.322869360770082e-06,1.002480301056095,0.3231932942461697,0.3231932942461697,False
phase1_aggregation_order,reflectance_first_matched,AOI-01,landsat,2024,1y_vs_3y,1,3,35,2.5394946629300437e-05,1.7505163742056224,0.08904918177621347,0.17809836355242695,False
phase1_aggregation_order,reflectance_first_matched,AOI-01,landsat,2024,2y_vs_3y,2,3,35,1.8072077268530362e-05,2.491045978824578,0.01778010285952998,0.05334030857858994,False
phase1_aggregation_order,reflectance_first_matched,AOI-01,landsat,2025,1y_vs_2y,1,2,35,5.573387634388188e-06,1.8068572464155388,0.07964153419280985,0.1592830683856197,False
phase1_aggregation_order,reflectance_first_matched,AOI-01,landsat,2025,1y_vs_3y,1,3,35,1.134111864990112e-05,4.834050422872889,2.8161305810479238e-05,8.448391743143771e-05,True
