sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,20017,39,0.048339549355205264,0.039509481212791873,0.0005330646535083503,0.7498373691689126,0.8659744745625948,0.8713410249267025,-0.001681691646020389,13159,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,20017,39,0.04908518488052744,0.039988612535656186,-0.008286322128857907,0.742060351923216,0.865974474562595,0.8870575029781231,-0.02076535714055472,12841,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,20017,39,0.055268022682012745,0.044803219310677135,-0.02621808875505032,0.6729869418720409,0.8659744745625939,0.8070537988421351,0.013552516042560359,18920,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20017,39,0.048500668796492216,0.0396572347812921,-0.003998013287382068,0.7481669673775977,0.8659744745625939,0.8705058519028057,-0.005667326220902602,26000,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20017,39,0.05193189091065767,0.04223247797466018,-0.018864567178898436,0.7112742534208711,0.8659744745625946,0.8415396826540974,-0.0016163571521333742,31761,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20017,39,0.05034686202801812,0.04115695082027378,-0.013823503273690425,0.7286298619340335,0.8659744745625945,0.8360469598697554,0.007011950495769637,44920,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2022,2025,W2022,18641,39,0.04240425222111247,0.03275951557170252,-0.008642225563098974,0.8114671709206669,0.9053183671457119,1.0108478736866655,-0.13336071118306436,10732,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2023,2025,W2023,18641,39,0.041551994317478136,0.03272063646481913,-0.00019398936206692314,0.8189694327689553,0.905298665099788,0.9649530652693524,-0.0936727499520913,20043,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2024,2025,W2024,18641,39,0.044074206931286955,0.03393285197042693,-0.012159178105134543,0.7963252559742667,0.9052986650997884,0.8952527812765313,-0.05819741556927249,16212,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,18641,39,0.0416101732225476,0.0325210583011522,-0.0032102711006585065,0.8184621390206966,0.9052986650997896,0.986361150864076,-0.11126014563108011,30775,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,18641,39,0.04205039581444718,0.03278008506205204,-0.005105605668191472,0.8146005921810124,0.9052986650997878,0.9398629021783117,-0.08150709778574627,36255,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,18641,39,0.04202860001888654,0.0326838169005891,-0.006042430840608832,0.8147927368804182,0.9052986650997883,0.9579429954111987,-0.09474988545928198,46987,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,12809,39,0.07300290228173018,0.05957650566029538,-0.031148058725891527,0.4683331142267425,0.7520066451494012,0.6089919943801444,0.1762933043296056,5928,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,12809,39,0.07873210242935225,0.06379945574349191,-0.04030036419240994,0.3816091470695292,0.7520280618580898,0.7106135662882743,0.10719372581318654,13486,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,12809,39,0.08030968688238785,0.06623439530458713,-0.04576151632466323,0.35657900986769253,0.7520066451494011,0.5894438297543644,0.17320970110429068,8101,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,12809,39,0.07613705628822202,0.061865275411688285,-0.03647375878399941,0.42170222357773934,0.7520219023121641,0.6767744154563294,0.13098420627401464,19414,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,12809,39,0.07849779702560512,0.0640145246323639,-0.04140782923819625,0.38528431172186384,0.7520214652206122,0.6692489235282891,0.13048900044251538,21587,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,12809,39,0.07695990179137285,0.06279452187357466,-0.03884726863376423,0.40913485879714817,0.7520167756040603,0.6537959308109776,0.14216569159664494,27515,39
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,9601,35,0.0012644564350440036,0.0005011553262367219,4.332049331966392e-05,0.37848501374291166,0.712100870284737,0.08271149310486027,-0.004309685831821535,9709,34
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,9601,35,0.0012321844502724407,0.0005608791697014492,0.00015007902768513867,0.40980529239819086,0.7029655932459508,0.09766403855473148,-0.005028967875195896,15205,35
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,9601,35,0.001255639860286322,0.0005691589490301423,0.00014230749119041063,0.38712197344569543,0.6944344282887936,0.08922044482933089,-0.004542100468935509,10862,35
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,9601,35,0.0012417635680885763,0.0005369583353152884,0.00010813334091452162,0.40059316473139583,0.7064408444459387,0.09203752630568493,-0.004760813103079967,24912,34
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,9601,35,0.0012414301351887076,0.0005641872999483555,0.00014697421765934873,0.40091502169578475,0.6996594136003649,0.09427310148506661,-0.004833178228720847,26067,35
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,9601,35,0.0012458198287986328,0.0005464311657156112,0.00011819191370193232,0.39667080543526134,0.7028450135955605,0.09117998388103937,-0.0046943438066780665,35773,34
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2022,2025,W2022,19714,35,0.0014118911251304357,0.0005415058366252994,9.244002009370847e-05,0.3330682821459058,0.6593666731021088,0.08411305143777095,-0.004652172416618072,19809,35
