sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,10779,2380,8,0.053499107271399025,0.043165603313917694,0.004205317140434323,0.6798869512783459,0.8257599178316576,2380
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,10604,2237,8,0.0438788528670759,0.03553991433380714,0.005466139024630673,0.7624152358018996,0.8752735487442348,2237
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,15582,3338,8,0.052280433671498504,0.043264439445797484,0.008716419828439887,0.6799394890738899,0.8310867256573351,3338
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,21383,4617,8,0.04932694289661694,0.039595876409883254,0.004686634456498697,0.7196913823881859,0.8498648438958256,4617
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,26186,5575,8,0.04994544255637961,0.040689336195947404,0.007474083241060416,0.705892704779725,0.8444241530422356,5575
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,36965,7955,8,0.05186653053639543,0.04191332802435133,0.006366645899074958,0.688784212503522,0.832805752800063,7955
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2022,2025,W2022,9051,1681,8,0.04396489607707184,0.034367853872127534,-0.0011928864074861978,0.793675174584904,0.8916043387083099,1681
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2023,2025,W2023,16560,3483,8,0.036872033661796644,0.029330338201429763,0.003974978182257576,0.8392323834929979,0.9171276061516971,3483
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2024,2025,W2024,13483,2729,8,0.047174065414612956,0.03753088055587102,-0.004661808638752703,0.7353522138721271,0.8598184990752007,2729
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,25611,5164,8,0.03941713381121442,0.030878818442330203,0.002118988247380314,0.8303583300604347,0.9116055084173821,5164
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,30043,6212,8,0.04150051022690774,0.032813595192494084,-5.3991012580294566e-05,0.7985186157271595,0.8937275736166089,6212
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,39094,7893,8,0.04221054198416002,0.03320958178081306,-0.0002508071062611738,0.8000715507358993,0.8946694731092074,7893
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,4887,1041,8,0.055034168857917856,0.04526088122991492,0.0043748866313786244,0.5111057941775853,0.7182310348856555,1041
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,11142,2344,8,0.05100509687678801,0.04173918371576686,0.007388710628957456,0.6928299988801585,0.8373696158826559,2344
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,6508,1593,8,0.06532385208615633,0.05385862997540379,0.0008316556387420782,0.5285537318481124,0.7274336674372297,1593
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,16029,3385,8,0.052715102712900565,0.04308376609578094,0.006649561712987981,0.6442747164233114,0.8072462332747141,3385
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,17650,3937,8,0.057565195090325545,0.04683343758776874,0.004699811907921565,0.6272381005298431,0.7951800646881279,3937
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,22537,4978,8,0.05722916250112122,0.04655419782526839,0.004871827252629055,0.6067058631416768,0.7819856235586097,4978
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,7415,2294,7,0.0005600828447367006,0.0004044218471508076,0.00038292783952309034,-2.767683888951488,0.2902895972399638,2294
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,11794,3411,7,0.0007499542015979945,0.0005704537241390869,0.0005019064775599314,-1.2157882673124534,0.35268473412823187,3411
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,8411,2451,7,0.0006909192689862135,0.0005389774371204571,0.00048108029177553624,-1.467772749135015,0.3068275670435264,2451
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,19207,5705,7,0.000678642839108477,0.0005045559269951964,0.00045345680233080415,-1.4801271185992944,0.32801077485286473,5705
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,20205,5862,7,0.0007243034930122978,0.0005558295148091445,0.0004914094846643374,-1.2945180068622113,0.33586511251608486,5862
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,27617,8156,7,0.000681547680571824,0.0005140302049630545,0.000460810651308413,-1.4704382821152793,0.32124456152137176,8156
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2022,2025,W2022,15387,4422,7,0.0007458067960803587,0.0005233438664505584,0.00046194934830587933,-0.9034708218997185,0.4044226390237187,4422
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2023,2025,W2023,15349,4386,7,0.0006928570154502633,0.0005125031115648627,0.0004188389369906317,-0.543184208478821,0.3884175926880883,4386
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2024,2025,W2024,15358,4418,7,0.0006730851740503195,0.0005028487722917445,0.00040547862625295403,-0.5181100493589776,0.3617335753987874,4418
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,30736,8808,7,0.0007166271357524166,0.0005160312065575248,0.00043826566436450424,-0.7024968314329993,0.39423289378843396,8808
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,30707,8804,7,0.0006879237374125364,0.0005124413992711855,0.00041727305659631456,-0.5529689887625775,0.3731900704965308,8804
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,46094,13226,7,0.0007015178190393481,0.0005126425226590662,0.0004280338494129174,-0.6372939109922893,0.3825426741660285,13226
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,12483,3437,7,0.0008012784721637433,0.0005142493105971871,0.0004355197543410402,-1.1211491821805213,0.2766878804357556,3437
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,10193,2945,7,0.0007331257833046562,0.0005032102107212884,0.0004062047242377431,-0.8329348517236324,0.2730476365241696,2945
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,14878,4234,7,0.0006161930926456816,0.0004280823067464055,0.0003465711396506059,-0.6446721772783266,0.28120764729798353,4234
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,22676,6382,7,0.0007711141165508948,0.0005100165630315047,0.00042285181175492984,-0.9931040938479745,0.2737544026060562,6382
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,25071,7179,7,0.0006627675370151693,0.0004555994307511604,0.0003670979175304758,-0.7124455212989718,0.27507202096083205,7179
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,37554,10616,7,0.000707528004496252,0.00047104408291342824,0.00038549865242721,-0.8440716082937101,0.27294865946855107,10616
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,3686,1094,7,0.054154634421790415,0.04041172942613185,0.00536289010566871,0.8531166226493279,0.9244457717224379,1094
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,306,275,1,0.06288296940307632,0.049736866785247705,-0.008882363806295672,0.8480839627112962,0.9287050603498662,275
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,1245,276,6,0.06758884727734876,0.04991339599337107,0.002274129397535263,0.8985419941333257,0.9480683754382461,276
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,909,641,1,0.05848564246178441,0.04535640946756637,-0.00935535285864037,0.8357207498059027,0.9191343455927364,641
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,695,402,1,0.06269428091777536,0.04885849342477086,-0.002641341694236143,0.8375774403099782,0.9184669179407708,402
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,1298,768,1,0.059377514819162765,0.045742205309910196,-0.004547582918613386,0.8297822744146861,0.9133165333386943,768
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,modis,2022,2025,W2022,7811,2601,8,0.053687893659541665,0.042446164998596915,0.00530523890863213,0.9000114145686343,0.9494235095127725,2601
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,modis,2023,2025,W2023,2021,330,6,0.05273390639921719,0.03916316877202058,0.0011260706554796166,0.9258584608984775,0.965545633445038,330
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,modis,2024,2025,W2024,8454,3043,8,0.04545932598564951,0.03443779190201117,0.005108986856101945,0.9419390546807974,0.9713128852650197,3043
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,modis,2022;2023,2025,W2022_2023,9679,2481,6,0.053679996906528124,0.04267504998842235,0.00236568967051842,0.8975666682044313,0.9475050058341885,2481
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,modis,2023;2024,2025,W2023_2024,10538,2821,6,0.04695462856298264,0.036057374407792726,0.001070940178032472,0.9379942873563829,0.9687420964664076,2821
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,modis,2022;2023;2024,2025,W2022_2024,18196,4972,6,0.05005421268105013,0.03887686903765038,0.0027328409762528865,0.9213369758471677,0.96005009619121,4972
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,sentinel2,2022,2025,W2022,9372,3104,8,0.05482875659598882,0.04270158012022623,0.003732010618956603,0.9040750309424612,0.9510743801775017,3104
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,sentinel2,2023,2025,W2023,2921,563,7,0.07297190071139294,0.05701457126950386,0.010687986281033662,0.8524755698417902,0.9253691153458548,563
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,sentinel2,2024,2025,W2024,11700,3796,8,0.06334352902373087,0.050538275246728485,0.008418243694655134,0.8769850730200323,0.9381469955213179,3796
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,sentinel2,2022;2023,2025,W2022_2023,12171,3131,7,0.05863606621583604,0.045311938358491496,0.004766243743994994,0.8921646497350274,0.9449316537242982,3131
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,sentinel2,2023;2024,2025,W2023_2024,14429,3670,7,0.065282585483032,0.05171635168225127,0.0044184179274419175,0.8733193054955478,0.9351907172387032,3670
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-02,sentinel2,2022;2023;2024,2025,W2022_2024,23679,6238,7,0.06225626623471751,0.048796697531391785,0.0042646992498384904,0.8834272424979202,0.9403699781635864,6238
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,7706,2324,7,0.02565738862444835,0.01912024007232211,0.007917474226050839,0.8660065342060583,0.9430503600381183,2324
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,6769,2083,7,0.03462874332644629,0.026102122153740616,0.010251122057757354,0.8477906204248936,0.9282752158862273,2083
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,7703,2431,7,0.027132103812237015,0.01968626464709091,0.004049585258143439,0.8862877521419259,0.9444008607852163,2431
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,14475,4407,7,0.03129646158666689,0.023630618365013217,0.008974079079840859,0.8451793405565721,0.9283401923953143,4407
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,14472,4514,7,0.03113556656163489,0.023289674388895374,0.00718194710054372,0.8641774652714608,0.9344164091966445,4514
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,22178,6838,7,0.029826415553667992,0.02225486228649303,0.0073232394925259875,0.8612020304545777,0.9343913480557979,6838
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,modis,2022,2025,W2022,4125,1099,6,0.022074761094096916,0.014936332699303593,-0.002263643313632877,0.7656101422435808,0.8774722882352469,1099
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,modis,2023,2025,W2023,6907,2182,7,0.022868718049432888,0.015854583632924645,0.0030162606962856665,0.89202309207178,0.9464797544011728,2182
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,modis,2024,2025,W2024,10000,2878,7,0.030522752559890984,0.022961170677827467,0.003288412167054509,0.8627945555152257,0.9302184830446101,2878
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,modis,2022;2023,2025,W2022_2023,10597,3196,6,0.021616493377868966,0.014838531576359547,0.0007558683184044619,0.8633863886906462,0.930556950959359,3196
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,modis,2023;2024,2025,W2023_2024,16907,5060,7,0.02750686877588082,0.01995807052709409,0.00326747856088269,0.8728510098174359,0.9358766772101901,5060
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,modis,2022;2023;2024,2025,W2022_2024,19760,5904,6,0.02574583219404321,0.018456900038100542,0.002295757012459703,0.8519169756383095,0.9251053659179447,5904
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,sentinel2,2022,2025,W2022,12020,3631,7,0.030443858521360816,0.022046514041719617,0.0063647424962782135,0.840819018898776,0.9227325695332025,3631
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,sentinel2,2023,2025,W2023,5540,1611,7,0.03604344419428578,0.026736332742115666,0.010977453374923304,0.839812151809872,0.9265337864953823,1611
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,sentinel2,2024,2025,W2024,7678,2266,7,0.04089365472286892,0.029462607097739974,0.01080371006008921,0.7976283909884412,0.9104196905815204,2266
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,sentinel2,2022;2023,2025,W2022_2023,17560,5242,7,0.032682125209929226,0.023809586040515338,0.008078537648015652,0.8413024021501581,0.9251328687287169,5242
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,sentinel2,2023;2024,2025,W2023_2024,13218,3877,7,0.03908715573804573,0.02847216078843976,0.01099951121807468,0.8154131063801326,0.9176338890622014,3877
phase1_aggregation_order,reflectance_first_matched,multi_aoi,AOI-03,sentinel2,2022;2023;2024,2025,W2022_2024,25238,7508,7,0.03529358592484876,0.02547324231897416,0.00884491409930773,0.8268995648768173,0.9200745729567733,7508
