sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,block_id,block_rmse,block_mae,block_bias,block_n
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_1,0.04736368107882263,0.04012349225230608,0.021808058483347558,45
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_2,0.05104424207343428,0.03972778204726694,-0.018770770378098732,142
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_3,0.04242144106786317,0.031202022981884757,-0.012911358151869353,148
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_4,0.03973472210006583,0.028760418180685494,-0.0002930973784759021,57
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_1,0.0601208639649835,0.04930093685572652,0.01975936925753372,351
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_2,0.047052147019372985,0.039032455743854694,0.017445790912056225,828
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_3,0.04465184085738135,0.035294847148504775,-0.0010235643129970057,823
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_4,0.0426812916366407,0.03265245451424924,0.0005165450410826079,815
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_5,0.042377379296431,0.03764272678616184,0.005729420028284619,12
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_1,0.054259180988080156,0.04439420295677443,0.021564622468342596,411
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_2,0.051600603882845486,0.04222074377814351,0.02450971653642658,807
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_3,0.035346940265682435,0.026717549674929158,0.0019079515425172175,846
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_4,0.04661072954144343,0.033762238057930986,-0.015702732046602344,844
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_5,0.04921433288913545,0.038017722563687344,-0.030893668847227874,203
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_0,0.05436901504293243,0.043326128897911674,0.0076935134581124455,38
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_1,0.06327223444447011,0.058089562970441065,0.05565434626876999,601
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_2,0.06429251669629751,0.056643490312551,0.04810907721753164,855
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_3,0.04009518664175168,0.030685633182714757,-0.0010957214188496258,855
phase1_aggregation_order,reflectance_first_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_3_4,0.04553652849781118,0.035144132063271265,-0.023300987873357742,796
