mode,AOI,analysis_type,dataset,target_year,history,required_constituent_years,training_support,target_support,complete_block_count,status,reason,RMSE,MAE,Bias,R2,Pearson_r,n
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2022,2022,13159,20017,39,ESTIMABLE,,0.04922975883032955,0.04030136819227294,-0.001051825924206623,0.7405386596973291,0.8607811944412894,20017.0
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2022,2022,12747,19717,39,ESTIMABLE,,0.04936511855532662,0.039791420461800085,0.010045263740631477,0.7349445057620951,0.8644471493612083,19717.0
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2023,2023,12841,20017,39,ESTIMABLE,,0.050040270378964705,0.040883138443291736,-0.008832179468883867,0.7319248633892765,0.8607811944412886,20017.0
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2023,2023,12768,19717,39,ESTIMABLE,,0.04829021337870998,0.03891522570596826,-0.0028369187184345956,0.7463617832724776,0.864447149361209,19717.0
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2024,2024,18920,20017,39,ESTIMABLE,,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017.0
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2024,2024,17726,19717,39,ESTIMABLE,,0.05689786182394995,0.045496218041235936,-0.028800428150880752,0.6478819121356656,0.8644471493612084,19717.0
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2022_2023,2022;2023,26000,20017,39,ESTIMABLE,,0.04947106938086972,0.04052913757545651,-0.005075015756932243,0.7379888113696362,0.8607811944412872,20017.0
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,25515,19717,39,ESTIMABLE,,0.04843668374001842,0.03917833615611653,0.0032150503044785575,0.7448208158709828,0.8644471493612074,19717.0
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2023_2024,2023;2024,31761,20017,39,ESTIMABLE,,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,20017.0
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,30494,19717,39,ESTIMABLE,,0.0518769347048758,0.04163036567790195,-0.018210793392322032,0.7072849478109815,0.864447149361208,19717.0
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,44920,20017,39,ESTIMABLE,,0.05143113995008685,0.04213824442732101,-0.014888396042622938,0.7168154590562494,0.8607811944412878,20017.0
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,43241,19717,39,ESTIMABLE,,0.05010249475517455,0.04050499324422981,-0.011119580303158974,0.7269669976320867,0.8644471493612087,19717.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,primary,2024,R2024-H1,2023,12841,18920,39,ESTIMABLE,,0.05421603307552783,0.0437617159430832,0.016963577709130723,0.6558046210124928,0.8337866699367015,18920.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,sensitivity,2024,R2024-H1,2023,12768,17726,39,ESTIMABLE,,0.05574841879777456,0.0440736073980539,0.02441768683009004,0.615307123962552,0.8358571102521505,17726.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,primary,2024,R2024-H2,2022;2023,26000,18920,39,ESTIMABLE,,0.0554669895597215,0.04486750564128322,0.020959358617217577,0.6397377549615606,0.8337866699367015,18920.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,sensitivity,2024,R2024-H2,2022;2023,25515,17726,39,ESTIMABLE,,0.058563893918056324,0.046618470261468814,0.030995520232763533,0.5754694712548949,0.8357943789251904,17726.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,primary,2024,R2024-H3,2021;2022;2023,38679,18920,39,ESTIMABLE,,0.054155030547034584,0.04372754063260131,0.017988886418782178,0.656578745369888,0.8337866699367011,18920.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,sensitivity,2024,R2024-H3,2021;2022;2023,37495,17726,39,ESTIMABLE,,0.05567436697340578,0.04406323642820554,0.025661698900322882,0.6163284368471003,0.8357904660408334,17726.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,primary,2025,R2025-H1,2024,18920,20017,39,ESTIMABLE,,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,sensitivity,2025,R2025-H1,2024,17726,19717,39,ESTIMABLE,,0.05689786182394995,0.045496218041235936,-0.028800428150880752,0.6478819121356656,0.8644471493612084,19717.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,primary,2025,R2025-H2,2023;2024,31761,20017,39,ESTIMABLE,,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,20017.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,sensitivity,2025,R2025-H2,2023;2024,30494,19717,39,ESTIMABLE,,0.0518769347048758,0.04163036567790195,-0.018210793392322032,0.7072849478109815,0.864447149361208,19717.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,primary,2025,R2025-H3,2022;2023;2024,44920,20017,39,ESTIMABLE,,0.05143113995008685,0.04213824442732101,-0.014888396042622938,0.7168154590562494,0.8607811944412878,20017.0
exclude_high_aerosol,AOI-00,ROLLING_ORIGIN,sensitivity,2025,R2025-H3,2022;2023;2024,43241,19717,39,ESTIMABLE,,0.05010249475517455,0.04050499324422981,-0.011119580303158974,0.7269669976320867,0.8644471493612087,19717.0
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2022,2022,9709,9601,34,ESTIMABLE,,0.001242428429767229,0.0005031351925982338,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,9601.0
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2022,2022,9192,7413,34,ESTIMABLE,,0.0013276271586784205,0.0005343155326452396,4.2880944321521515e-05,0.3605939085536989,0.7002343218986301,7413.0
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2023,2023,15205,9601,35,ESTIMABLE,,0.0012098680224037,0.0005576301745310038,0.0001593946556148428,0.4309900517005192,0.7134506875280094,9601.0
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2023,2023,14077,7413,35,ESTIMABLE,,0.0013224101136452534,0.0005685039157976366,9.268889705892286e-05,0.365609256650302,0.6923435046743498,7413.0
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2024,2024,10862,9601,35,ESTIMABLE,,0.0012350993319251607,0.0005652125927523529,0.00014854235779041672,0.4070096353521019,0.7054465839794869,9601.0
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2024,2024,9343,7413,35,ESTIMABLE,,0.001316252525683429,0.000581591818874914,0.00011592690042502548,0.37150337708870873,0.6907461409164157,7413.0
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2022_2023,2022;2023,24912,9601,34,ESTIMABLE,,0.0012197323830697296,0.0005359453060655543,0.00011944664619506003,0.42167366177145105,0.7160638775658889,9601.0
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,23268,7413,34,ESTIMABLE,,0.0013241927579470511,0.0005547000927192115,7.26179549690111e-05,0.36389775237617994,0.6953872451168136,7413.0
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2023_2024,2023;2024,26067,9601,35,ESTIMABLE,,0.0012197222847369214,0.0005606587153263471,0.0001550806834690873,0.4216832378190176,0.7103775184797825,9601.0
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,23420,7413,35,ESTIMABLE,,0.001319770406640183,0.0005739966328872515,0.00010241069910060766,0.3681393860008422,0.6916478378134161,7413.0
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,35773,9601,34,ESTIMABLE,,0.0012242071713751306,0.0005445588729091199,0.00012805044105937416,0.4174225079664491,0.712916071686131,9601.0
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,32610,7413,34,ESTIMABLE,,0.0013215191822852292,0.0005625844330544782,8.541482952520686e-05,0.36646376949729353,0.6939782865835066,7413.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,primary,2024,R2024-H1,2023,15205,10862,35,ESTIMABLE,,0.001196621638422752,0.00046656937328395974,0.00018547659242894242,0.39199453850145227,0.6814302846675994,10862.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,sensitivity,2024,R2024-H1,2023,14077,9343,35,ESTIMABLE,,0.0012835726295924734,0.000467281752968822,0.00013318916344193254,0.2678476174930323,0.5811458214553801,9343.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,primary,2024,R2024-H2,2022;2023,24912,10862,34,ESTIMABLE,,0.0012033933370670712,0.00044397696530254445,0.00015121300099809205,0.3850936445893154,0.6846400506747056,10862.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,sensitivity,2024,R2024-H2,2022;2023,23268,9343,34,ESTIMABLE,,0.0012830582855493707,0.0004531476928710375,0.0001155054775388446,0.26843426566243256,0.5852284747504822,9343.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,primary,2024,R2024-H3,2021;2022;2023,36059,10862,34,ESTIMABLE,,0.0012010449610705038,0.00040598978764100623,0.0001034344887310492,0.38749123529360363,0.6974303947992733,10862.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,sensitivity,2024,R2024-H3,2021;2022;2023,34113,9343,34,ESTIMABLE,,0.001280935425551987,0.00041897663360657774,7.409349186372313e-05,0.2708530597222789,0.597428236612849,9343.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,primary,2025,R2025-H1,2024,10862,9601,35,ESTIMABLE,,0.0012350993319251607,0.0005652125927523529,0.00014854235779041672,0.4070096353521019,0.7054465839794869,9601.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,sensitivity,2025,R2025-H1,2024,9343,7413,35,ESTIMABLE,,0.001316252525683429,0.000581591818874914,0.00011592690042502548,0.37150337708870873,0.6907461409164157,7413.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,primary,2025,R2025-H2,2023;2024,26067,9601,35,ESTIMABLE,,0.0012197222847369214,0.0005606587153263471,0.0001550806834690873,0.4216832378190176,0.7103775184797825,9601.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,sensitivity,2025,R2025-H2,2023;2024,23420,7413,35,ESTIMABLE,,0.001319770406640183,0.0005739966328872515,0.00010241069910060766,0.3681393860008422,0.6916478378134161,7413.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,primary,2025,R2025-H3,2022;2023;2024,35773,9601,34,ESTIMABLE,,0.0012242071713751306,0.0005445588729091199,0.00012805044105937416,0.4174225079664491,0.712916071686131,9601.0
exclude_high_aerosol,AOI-01,ROLLING_ORIGIN,sensitivity,2025,R2025-H3,2022;2023;2024,32610,7413,34,ESTIMABLE,,0.0013215191822852292,0.0005625844330544782,8.541482952520686e-05,0.36646376949729353,0.6939782865835066,7413.0
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2022,2022,4780,1735,34,ESTIMABLE,,0.05789036382436021,0.04468107976095543,0.009951496434065477,0.8760985081772599,0.9379718196852974,1735.0
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2022,2022,4279,1236,34,ESTIMABLE,,0.07293569661251773,0.053041092113680764,0.020008290013572936,0.7592723106651988,0.8844020816239896,1236.0
