mode,AOI,primary_preferred_history,sensitivity_preferred_history,state
exclude_high_aerosol,AOI-00,W2022,W2023,COMPARABLE_HISTORY_CHANGE
exclude_high_aerosol,AOI-01,W2023,W2024,COMPARABLE_HISTORY_CHANGE
exclude_high_aerosol,AOI-02,W2022_2023,W2024,COMPARABLE_HISTORY_CHANGE
exclude_high_aerosol,AOI-03,W2022,W2022,NO_CHANGE
valid_retrieval_no_high,AOI-00,W2022,W2023,COMPARABLE_HISTORY_CHANGE
valid_retrieval_no_high,AOI-01,W2023,W2024,COMPARABLE_HISTORY_CHANGE
valid_retrieval_no_high,AOI-02,W2022_2023,W2024,COMPARABLE_HISTORY_CHANGE
valid_retrieval_no_high,AOI-03,W2022,W2022,NO_CHANGE
strict_aerosol,AOI-00,W2022,W2023,COMPARABLE_HISTORY_CHANGE
strict_aerosol,AOI-01,W2023,W2024,COMPARABLE_HISTORY_CHANGE
strict_aerosol,AOI-02,W2022_2023,W2024,COMPARABLE_HISTORY_CHANGE
strict_aerosol,AOI-03,W2022,W2022,NO_CHANGE
