mode,AOI,operational_status,operational_delta_RMSE,matched_status,matched_delta_RMSE,common_identity_n
exclude_high_aerosol,AOI-00,ESTIMABLE,0.00013535972499707088,ESTIMABLE_IDENTICAL_SUPPORT,0.0011035184336169318,74938
exclude_high_aerosol,AOI-01,ESTIMABLE,0.00011254209124155336,ESTIMABLE_IDENTICAL_SUPPORT,0.00011686547709960642,50871
exclude_high_aerosol,AOI-02,ESTIMABLE,0.013864135580271428,ESTIMABLE_IDENTICAL_SUPPORT,0.016469413431835285,6944
exclude_high_aerosol,AOI-03,ESTIMABLE,-3.0019416184370873e-05,ESTIMABLE_IDENTICAL_SUPPORT,0.0003302221360590371,34680
valid_retrieval_no_high,AOI-00,ESTIMABLE,0.004601954932326777,ESTIMABLE_IDENTICAL_SUPPORT,0.005673681541188934,73726
valid_retrieval_no_high,AOI-01,ESTIMABLE,0.00013686531773460112,ESTIMABLE_IDENTICAL_SUPPORT,0.00012750537045595257,49884
valid_retrieval_no_high,AOI-02,ESTIMABLE,0.025036122450598608,ESTIMABLE_IDENTICAL_SUPPORT,0.030158665376071543,6342
valid_retrieval_no_high,AOI-03,ESTIMABLE,0.0004952975915383864,ESTIMABLE_IDENTICAL_SUPPORT,0.0011899398366699149,33360
strict_aerosol,AOI-00,ESTIMABLE,0.01183290949474259,ESTIMABLE_IDENTICAL_SUPPORT,0.013022529944705818,68267
strict_aerosol,AOI-01,ESTIMABLE,0.000276327648900052,ESTIMABLE_IDENTICAL_SUPPORT,0.00032190834191428647,43434
strict_aerosol,AOI-02,ESTIMABLE,0.03058985096517751,ESTIMABLE_IDENTICAL_SUPPORT,0.03622951832461767,4740
strict_aerosol,AOI-03,ESTIMABLE,0.0024344626846391007,ESTIMABLE_IDENTICAL_SUPPORT,0.004074367149433433,28891
