mode,AOI,analysis_type,dataset,target_year,history,required_constituent_years,training_support,target_support,complete_block_count,status,reason,RMSE,MAE,Bias,R2,Pearson_r,n
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2022,2022,13159,20017,39,ESTIMABLE,,0.04922975883032955,0.04030136819227294,-0.001051825924206623,0.7405386596973291,0.8607811944412894,20017
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2022,2022,12747,19717,39,ESTIMABLE,,0.04936511855532662,0.039791420461800085,0.010045263740631477,0.7349445057620951,0.8644471493612083,19717
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2023,2023,12841,20017,39,ESTIMABLE,,0.050040270378964705,0.040883138443291736,-0.008832179468883867,0.7319248633892765,0.8607811944412886,20017
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2023,2023,12768,19717,39,ESTIMABLE,,0.04829021337870998,0.03891522570596826,-0.0028369187184345956,0.7463617832724776,0.864447149361209,19717
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2024,2024,18920,20017,39,ESTIMABLE,,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2024,2024,17726,19717,39,ESTIMABLE,,0.05689786182394995,0.045496218041235936,-0.028800428150880752,0.6478819121356656,0.8644471493612084,19717
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2022_2023,2022;2023,26000,20017,39,ESTIMABLE,,0.04947106938086972,0.04052913757545651,-0.005075015756932243,0.7379888113696362,0.8607811944412872,20017
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,25515,19717,39,ESTIMABLE,,0.04843668374001842,0.03917833615611653,0.0032150503044785575,0.7448208158709828,0.8644471493612074,19717
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2023_2024,2023;2024,31761,20017,39,ESTIMABLE,,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,20017
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,30494,19717,39,ESTIMABLE,,0.0518769347048758,0.04163036567790195,-0.018210793392322032,0.7072849478109815,0.864447149361208,19717
exclude_high_aerosol,AOI-00,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,44920,20017,39,ESTIMABLE,,0.05143113995008685,0.04213824442732101,-0.014888396042622938,0.7168154590562494,0.8607811944412878,20017
exclude_high_aerosol,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,43241,19717,39,ESTIMABLE,,0.05010249475517455,0.04050499324422981,-0.011119580303158974,0.7269669976320867,0.8644471493612087,19717
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2022,2022,9709,9601,34,ESTIMABLE,,0.001242428429767229,0.0005031351925982338,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,9601
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2022,2022,9192,7413,34,ESTIMABLE,,0.0013276271586784205,0.0005343155326452396,4.2880944321521515e-05,0.3605939085536989,0.7002343218986301,7413
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2023,2023,15205,9601,35,ESTIMABLE,,0.0012098680224037,0.0005576301745310038,0.0001593946556148428,0.4309900517005192,0.7134506875280094,9601
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2023,2023,14077,7413,35,ESTIMABLE,,0.0013224101136452534,0.0005685039157976366,9.268889705892286e-05,0.365609256650302,0.6923435046743498,7413
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2024,2024,10862,9601,35,ESTIMABLE,,0.0012350993319251607,0.0005652125927523529,0.00014854235779041672,0.4070096353521019,0.7054465839794869,9601
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2024,2024,9343,7413,35,ESTIMABLE,,0.001316252525683429,0.000581591818874914,0.00011592690042502548,0.37150337708870873,0.6907461409164157,7413
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2022_2023,2022;2023,24912,9601,34,ESTIMABLE,,0.0012197323830697296,0.0005359453060655543,0.00011944664619506003,0.42167366177145105,0.7160638775658889,9601
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,23268,7413,34,ESTIMABLE,,0.0013241927579470511,0.0005547000927192115,7.26179549690111e-05,0.36389775237617994,0.6953872451168136,7413
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2023_2024,2023;2024,26067,9601,35,ESTIMABLE,,0.0012197222847369214,0.0005606587153263471,0.0001550806834690873,0.4216832378190176,0.7103775184797825,9601
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,23420,7413,35,ESTIMABLE,,0.001319770406640183,0.0005739966328872515,0.00010241069910060766,0.3681393860008422,0.6916478378134161,7413
exclude_high_aerosol,AOI-01,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,35773,9601,34,ESTIMABLE,,0.0012242071713751306,0.0005445588729091199,0.00012805044105937416,0.4174225079664491,0.712916071686131,9601
exclude_high_aerosol,AOI-01,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,32610,7413,34,ESTIMABLE,,0.0013215191822852292,0.0005625844330544782,8.541482952520686e-05,0.36646376949729353,0.6939782865835066,7413
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2022,2022,4780,1735,34,ESTIMABLE,,0.05789036382436021,0.04468107976095543,0.009951496434065477,0.8760985081772599,0.9379718196852974,1735
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2022,2022,4279,1236,34,ESTIMABLE,,0.07293569661251773,0.053041092113680764,0.020008290013572936,0.7592723106651988,0.8844020816239896,1236
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2023,2023,581,1735,6,ESTIMABLE,,0.05990493079842939,0.04612228575331283,0.017668246055808197,0.867324993028732,0.9379718196852979,1735
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2023,2023,486,1236,6,ESTIMABLE,,0.0761376926218873,0.055439821900794446,0.02606610146486039,0.7376716672114492,0.8844020816239898,1236
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2024,2024,1521,1735,30,ESTIMABLE,,0.06036333920061194,0.04643628868475326,0.01851721413142559,0.8652866953465363,0.9379718196852976,1735
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2024,2024,942,1236,22,ESTIMABLE,,0.0712016726374197,0.052001190372940875,0.01367059731605611,0.7705826976795446,0.8844020816239897,1236
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2022_2023,2022;2023,1550,1735,6,ESTIMABLE,,0.057445153399661025,0.044310577682450246,0.006946180346448518,0.8779969284805731,0.9379718196852981,1735
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,1336,1236,6,ESTIMABLE,,0.07130928897993245,0.05200274103527584,0.012375134675343727,0.769888677217509,0.8844020816239899,1236
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2023_2024,2023;2024,1097,1735,6,ESTIMABLE,,0.06229136122061421,0.048331183741156074,0.024997207653105778,0.85654370169073,0.9379718196852976,1735
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,795,1236,6,ESTIMABLE,,0.07666997978008508,0.055946498154864154,0.029436789942442535,0.7339909120835859,0.8844020816239894,1236
exclude_high_aerosol,AOI-02,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,2066,1735,6,ESTIMABLE,,0.058589343207418466,0.04528700034517385,0.013381155985120569,0.8730884241914783,0.9379718196852973,1735
exclude_high_aerosol,AOI-02,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,1645,1236,6,ESTIMABLE,,0.07201058541783759,0.05243258237382551,0.016510526330006416,0.7653403277218682,0.8844020816239897,1236
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2022,2022,10030,9322,35,ESTIMABLE,,0.03677964098060397,0.027741850141007246,0.0074635677135337685,0.861954340963434,0.9317552096621348,9322
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2022,2022,9684,9072,35,ESTIMABLE,,0.0367496215644196,0.027768467004090844,0.008687801526883804,0.8620521196114465,0.9330152349820018,9072
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2023,2023,8852,9322,35,ESTIMABLE,,0.044698311799913404,0.03624244392798886,0.025383832364633707,0.7961127704998615,0.9314587026513985,9322
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2023,2023,5524,9072,35,ESTIMABLE,,0.04003015395166981,0.03187918370423398,0.01801253317020424,0.8363244495799219,0.9326987455945875,9072
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2024,2024,10134,9322,35,ESTIMABLE,,0.03783313456293764,0.029275904775324452,0.011605758503079183,0.8539328911020295,0.9315467673418729,9322
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2024,2024,9738,9072,35,ESTIMABLE,,0.03783520167344474,0.02931041992672408,0.0125734314725076,0.8537818126082182,0.9328149865779323,9072
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2022_2023,2022;2023,18882,9322,35,ESTIMABLE,,0.03959787148675906,0.031013048484901207,0.015827627468282528,0.8399884003757282,0.9315861157282401,9322
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,15208,9072,35,ESTIMABLE,,0.03770992948852759,0.029042145757661366,0.012056801753410534,0.8547484652030832,0.9328804770844794,9072
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2023_2024,2023;2024,18986,9322,35,ESTIMABLE,,0.04036082175725066,0.032027633365550506,0.017861925425941595,0.8337629653842307,0.9314929312459389,9322
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,15262,9072,35,ESTIMABLE,,0.03855179223358789,0.030175578114093375,0.014535585464233223,0.8481906800166553,0.932769519886466,9072
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,29016,9322,35,ESTIMABLE,,0.03885535937353348,0.0303184931299491,0.014269369794490519,0.8459329938398575,0.9315690216747432,9322
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,24946,9072,35,ESTIMABLE,,0.03774838071553826,0.02913308047764846,0.01223842596569159,0.8544521004387141,0.9328552828501586,9072
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2022,2022,13159,20017,39,ESTIMABLE,,0.04922975883032955,0.04030136819227294,-0.001051825924206623,0.7405386596973291,0.8607811944412894,20017
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2022,2022,12525,19616,39,ESTIMABLE,,0.05383171376265632,0.041219939314941875,0.015345507984188166,0.6775234466803087,0.8417973337959924,19616
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2023,2023,12841,20017,39,ESTIMABLE,,0.050040270378964705,0.040883138443291736,-0.008832179468883867,0.7319248633892765,0.8607811944412886,20017
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2023,2023,12694,19616,39,ESTIMABLE,,0.051173001452141015,0.038892769373965276,-0.0008842976899208812,0.708590629932683,0.841830802768347,19616
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2024,2024,18920,20017,39,ESTIMABLE,,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2024,2024,17362,19616,39,ESTIMABLE,,0.058885974013810065,0.045806204745804914,-0.02770372712001634,0.614126053119902,0.841797333795992,19616
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2022_2023,2022;2023,26000,20017,39,ESTIMABLE,,0.04947106938086972,0.04052913757545651,-0.005075015756932243,0.7379888113696362,0.8607811944412872,20017
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,25219,19616,39,ESTIMABLE,,0.05192065735832004,0.03975559224073748,0.006668236833811461,0.7000132340950282,0.8417973337959924,19616
