mode,AOI,target_year,state
exclude_high_aerosol,AOI-00,2024,NO_CHANGE
exclude_high_aerosol,AOI-00,2025,NO_CHANGE
exclude_high_aerosol,AOI-01,2024,DIRECTION_CHANGE
exclude_high_aerosol,AOI-01,2025,DIRECTION_CHANGE
exclude_high_aerosol,AOI-02,2024,NOT_COMPARABLE
exclude_high_aerosol,AOI-02,2025,DIRECTION_CHANGE
exclude_high_aerosol,AOI-03,2024,NO_CHANGE
exclude_high_aerosol,AOI-03,2025,DIRECTION_CHANGE
valid_retrieval_no_high,AOI-00,2024,DIRECTION_CHANGE
valid_retrieval_no_high,AOI-00,2025,NO_CHANGE
valid_retrieval_no_high,AOI-01,2024,DIRECTION_CHANGE
valid_retrieval_no_high,AOI-01,2025,DIRECTION_CHANGE
valid_retrieval_no_high,AOI-02,2024,NOT_COMPARABLE
valid_retrieval_no_high,AOI-02,2025,DIRECTION_CHANGE
valid_retrieval_no_high,AOI-03,2024,NO_CHANGE
valid_retrieval_no_high,AOI-03,2025,DIRECTION_CHANGE
strict_aerosol,AOI-00,2024,DIRECTION_CHANGE
strict_aerosol,AOI-00,2025,NO_CHANGE
strict_aerosol,AOI-01,2024,NO_CHANGE
strict_aerosol,AOI-01,2025,DIRECTION_CHANGE
strict_aerosol,AOI-02,2024,NOT_COMPARABLE
strict_aerosol,AOI-02,2025,DIRECTION_CHANGE
strict_aerosol,AOI-03,2024,DIRECTION_CHANGE
strict_aerosol,AOI-03,2025,DIRECTION_CHANGE
