mode,AOI,year,n_primary_pairs,n_sensitivity_pairs,retention,zero_support,checkpoint_status
exclude_high_aerosol,AOI-00,2021,12679,11980,0.9448694692010411,False,COMPLETED
exclude_high_aerosol,AOI-00,2022,13159,12747,0.9686906299870811,False,COMPLETED
exclude_high_aerosol,AOI-00,2023,12841,12768,0.9943150844949771,False,COMPLETED
exclude_high_aerosol,AOI-00,2024,18920,17726,0.936892177589852,False,COMPLETED
exclude_high_aerosol,AOI-00,2025,20017,19717,0.9850127391717041,False,COMPLETED
exclude_high_aerosol,AOI-01,2021,11148,10846,0.9729099390025117,False,COMPLETED
exclude_high_aerosol,AOI-01,2022,9709,9192,0.946750437738181,False,COMPLETED
exclude_high_aerosol,AOI-01,2023,15205,14077,0.9258138770141401,False,COMPLETED
exclude_high_aerosol,AOI-01,2024,10862,9343,0.8601546676486835,False,COMPLETED
exclude_high_aerosol,AOI-01,2025,9601,7413,0.7721070721799812,False,COMPLETED
exclude_high_aerosol,AOI-02,2021,94,1,0.010638297872340425,False,COMPLETED
exclude_high_aerosol,AOI-02,2022,4780,4279,0.8951882845188285,False,COMPLETED
exclude_high_aerosol,AOI-02,2023,581,486,0.8364888123924269,False,COMPLETED
exclude_high_aerosol,AOI-02,2024,1521,942,0.6193293885601578,False,COMPLETED
exclude_high_aerosol,AOI-02,2025,1735,1236,0.7123919308357348,False,COMPLETED
exclude_high_aerosol,AOI-03,2021,673,662,0.9836552748885586,False,COMPLETED
exclude_high_aerosol,AOI-03,2022,10030,9684,0.9655034895314057,False,COMPLETED
exclude_high_aerosol,AOI-03,2023,8852,5524,0.6240397650248531,False,COMPLETED
exclude_high_aerosol,AOI-03,2024,10134,9738,0.9609236234458259,False,COMPLETED
exclude_high_aerosol,AOI-03,2025,9322,9072,0.9731817206608024,False,COMPLETED
valid_retrieval_no_high,AOI-00,2021,12679,11529,0.9092988406025712,False,COMPLETED
valid_retrieval_no_high,AOI-00,2022,13159,12525,0.9518200471160423,False,COMPLETED
valid_retrieval_no_high,AOI-00,2023,12841,12694,0.9885522934350908,False,COMPLETED
valid_retrieval_no_high,AOI-00,2024,18920,17362,0.9176532769556025,False,COMPLETED
valid_retrieval_no_high,AOI-00,2025,20017,19616,0.9799670280261777,False,COMPLETED
valid_retrieval_no_high,AOI-01,2021,11148,10723,0.9618765697883028,False,COMPLETED
valid_retrieval_no_high,AOI-01,2022,9709,8935,0.9202801524358842,False,COMPLETED
valid_retrieval_no_high,AOI-01,2023,15205,13919,0.9154225583689576,False,COMPLETED
valid_retrieval_no_high,AOI-01,2024,10862,9062,0.8342846621248389,False,COMPLETED
valid_retrieval_no_high,AOI-01,2025,9601,7245,0.7546088949067805,False,COMPLETED
valid_retrieval_no_high,AOI-02,2021,94,0,0.0,True,COMPLETED_ZERO_SUPPORT
valid_retrieval_no_high,AOI-02,2022,4780,3983,0.8332635983263599,False,COMPLETED
valid_retrieval_no_high,AOI-02,2023,581,437,0.7521514629948365,False,COMPLETED
valid_retrieval_no_high,AOI-02,2024,1521,819,0.5384615384615384,False,COMPLETED
valid_retrieval_no_high,AOI-02,2025,1735,1103,0.6357348703170029,False,COMPLETED
valid_retrieval_no_high,AOI-03,2021,673,634,0.9420505200594353,False,COMPLETED
valid_retrieval_no_high,AOI-03,2022,10030,9440,0.9411764705882353,False,COMPLETED
valid_retrieval_no_high,AOI-03,2023,8852,5189,0.5861952101220064,False,COMPLETED
valid_retrieval_no_high,AOI-03,2024,10134,9563,0.9436550226958753,False,COMPLETED
valid_retrieval_no_high,AOI-03,2025,9322,8534,0.9154687835228492,False,COMPLETED
strict_aerosol,AOI-00,2021,12679,10863,0.8567710387254516,False,COMPLETED
strict_aerosol,AOI-00,2022,13159,12195,0.9267421536590926,False,COMPLETED
strict_aerosol,AOI-00,2023,12841,12247,0.9537419204111829,False,COMPLETED
strict_aerosol,AOI-00,2024,18920,13998,0.7398520084566597,False,COMPLETED
strict_aerosol,AOI-00,2025,20017,18964,0.9473947144926812,False,COMPLETED
strict_aerosol,AOI-01,2021,11148,9626,0.8634732687477574,False,COMPLETED
strict_aerosol,AOI-01,2022,9709,8375,0.8626017097538367,False,COMPLETED
strict_aerosol,AOI-01,2023,15205,11970,0.7872410391318645,False,COMPLETED
strict_aerosol,AOI-01,2024,10862,6760,0.6223531577978273,False,COMPLETED
strict_aerosol,AOI-01,2025,9601,6703,0.6981564420372878,False,COMPLETED
strict_aerosol,AOI-02,2021,94,0,0.0,True,COMPLETED_ZERO_SUPPORT
strict_aerosol,AOI-02,2022,4780,3091,0.6466527196652719,False,COMPLETED
strict_aerosol,AOI-02,2023,581,371,0.6385542168674698,False,COMPLETED
strict_aerosol,AOI-02,2024,1521,548,0.36028928336620647,False,COMPLETED
strict_aerosol,AOI-02,2025,1735,730,0.4207492795389049,False,COMPLETED
strict_aerosol,AOI-03,2021,673,584,0.8677563150074294,False,COMPLETED
strict_aerosol,AOI-03,2022,10030,7970,0.7946161515453639,False,COMPLETED
strict_aerosol,AOI-03,2023,8852,4161,0.47006326253953906,False,COMPLETED
strict_aerosol,AOI-03,2024,10134,8614,0.8500098677718572,False,COMPLETED
strict_aerosol,AOI-03,2025,9322,7562,0.8111993134520489,False,COMPLETED
